Ranking,Video ID,Video Title,Date Published,Category,Tags,URL,Duration,Views,Favorites,Rating,Raters,# Comments,Description,Comment Thread
1,"""kvQWKcMdyS4""","""Real-Time Polymerase Chain Reaction (PCR)""",2010-12-23,"""Education""","""health, medicine, knust, ghana, microbiology, pcr, health oer, healthoernetwork, open educational resources, polymerase chain reaction""",https://www.youtube.com/watch?v=kvQWKcMdyS4&feature=youtube_gdata_player,405,64601,114,4.9490447,157,51,"This short animation introduces the real-time polymerase chain reaction (PCR) procedure. This resource was developed by Yaw Adu-Sarkodie of the Kwame Nkrumah University of Science and Technology and Cary Engleberg of the University of Michigan. It is part of a larger learning module about laboratory methods for clinical microbiology (available at open.umich.edu 2009-2010, Kwame Nkrumah University of Science and Technology and Cary Engleberg. This is licensed under a Creative Commons Attribution Noncommercial 3.0 License creativecommons.org","TheCentralServices (2012-02-02) How can we use this to make a controllable﻿ genetic weapon?;

relexbsb (2012-01-26) Perfect! Thanks a lot!!!﻿;

llr0x (2012-01-17) Very good explanation! You made qPCR look﻿ easy now. Thanks!;

Bertwhatyagonedo (2012-01-15) Thank you for the video. It was﻿ a great help!;

dor4ito (2011-12-16) That was a good explanation﻿ of the method, I understood it perfectly ;);

01059871 (2011-12-15) I think I should learn molecular techniques from YouTube since my teacher at college never is﻿ able to explain his ideas;

cassochinadoll (2011-12-14) Wow that was﻿ so good. Thanks!;

sugimurahiroki (2011-11-22) @miktu﻿ 
holy shit stfu;

NicoleYiew (2011-11-22) Very clear explanation.﻿ Thank you!;

sushiserv (2011-11-21) Sir. You have﻿ helped me greatly. Your English is great, so the haters on their comment feed need to hate somewhere else.

Thank you for having both kinds of RT-PCR in this video.;

23computerkid (2011-11-13) Very﻿ Good explanation about Real time PCR....I was looking for the same....!!!!;

23computerkid (2011-11-13) Very Good explanation about Real time PCR....I﻿ was looking for the same....!!!!;

Sanjeev2Rhod (2011-11-11) Thank you for your﻿ help and sharing your knowledge.;

ATULBASNAL (2011-11-10) I WAS TIRED OF SEARCHING THIS TOPIC IN﻿ BUK.
THANKS A TON UPLOADER.
:-);

ATULBASNAL (2011-11-10) I WAS﻿ TIRED OF SEARCHING THIS TOPIC IN BUK.
THANKS A TON UPLOADER.
:-);

thehottie92 (2011-11-09) thank you so so much! i had a hard time﻿ learning how realtime-PCR works but now its so clear to me how it works !! your a life saver.;

cocoakamc (2011-11-08) i understand﻿ !!!! thx you;

gabonsv (2011-10-23) my﻿ god horrible english pronunciation... can't understand anything!!;

hkpopfan4lif3 (2011-10-20) @miktu 
horrible respect.﻿ holy shit gtfo!;

mmbukar (2011-10-17) Very clear and concise narrative. The video was very﻿ helpful. No language problem whatsoever. Thanks a lot;

DrAFJames (2011-10-13) Very clear explanation.  No language problem﻿;

miktu (2011-10-04) horrible﻿ english. holy shit gtfo!;

edwardgreat (2011-09-19) @melissious 

If this was told in latin or greek I would still have understood it.
Please﻿ open your ears

(""This one﻿ is hard to understand because of the accent, plus very monotone."");

", 
2,"""RRbuz3VQ100""","""Enzyme-Linked Immunosorbent Assay (ELISA)""",2010-12-23,"""Education""","""health, medicine, microbiology, oer, antibodies, health oer, healthoernetwork, open educational resources""",https://www.youtube.com/watch?v=RRbuz3VQ100&feature=youtube_gdata_player,110,55920,115,4.972028,143,30,"This short animation demonstrates enzyme-linked immunosorbent assay (ELISA) to measure specific antibodies. This resource was developed by Cary Engleberg of the University of Michigan. It is part of a larger learning module about laboratory methods for clinical microbiology (available at open.umich.edu 2009-2010, Cary Engleberg. This is licensed under a Creative Commons Attribution Noncommercial 3.0 License creativecommons.org","yuchunsa (2012-02-08) @piarocio2013 oh..﻿ thank you, very informative!;

piarocio2013 (2012-02-07) @yuchunsa it's because ELISA tests can provide qualitative results, indicating whether a patient is positive or negative for the presence of the antigen or antibody, or an ELISA can provide quantitative results, determining how much of the detected substance is present. So If the ELISA test can still detect disease antigen or antibody at the smallest dilution and smallest﻿ final concentration, then the patient must have a very strong infection.;

noriharichandan (2012-02-06) thank﻿ you;

khijasmith (2012-01-18) brilliant video﻿;

crazdiaz1 (2012-01-17) thank you very much!﻿;

rezaeijavan (2012-01-07) THUMPS UP if you think it makes﻿﻿ so much more sense now after watching the video...;

tessa5191 (2011-12-07) @yuchunsa﻿ 

more wells is to get more repetition for better significant results, imagine each well as a single little experiment, and dilutions help us know the different fluorescence at different dilution levels.;

nybigbro (2011-12-01) thank you. thank you thank you thank you thank you. ﻿  thank you;

Israeli6761 (2011-11-21) I assume the test must be done quickly otherwise given enough﻿ time, the well with the more enzyme will run out of substrate and in the well with even the smallest amount of enzyme will continue catalyzing substrates and will catch up to the well with the higher amount of subrstrates;

yuchunsa (2011-11-17) What is the purpose of having so﻿ many wells and the dilutions?;

saccee (2011-11-14) Wow!!! Thank you so much. I was anxious about ever understanding this. The animation you made made a lot of sense of what﻿ I did in lab last week.;

sunsetpeach (2011-11-11) thank you so much! this makes﻿ so much more sense now;

justwatchingalot (2011-10-28) Yeah thanks, i have a lab on this today as well and now this bit makes﻿ sense :);

mrslloydhpolite (2011-10-26) Thank Yoooou.. have a lab on this tomorrow and the lab manual is long winded and didnt make sense..﻿ now its crystal clear.. thanks :);

Theguyinaplasticbag (2011-09-22) Great stuff, now I can figure﻿ it out better with that test and antigen HIV.;

melissious (2011-07-14) Nevermind, found﻿ it! :);

melissious (2011-07-14) Fabulous!  It's finally making sense!  Desperately needed this for a presentation on﻿ Ebola.  I've been reading up for days and watched a few videos that didn't really explain in detail what was going on. GREAT video!  Now, do you happen to have one on RT-PCR??  ;);

82Horror (2011-07-05) I'm studying about e﻿ coli cultured in agar ,to be clear 
thnx;

82Horror (2011-07-05) hi guys: this film deals with serum﻿ samples but,what if I have e coli samples anybody know how e coli ELISA kits work?? 
thanks;

amshuman100 (2011-06-18) Thank you Professor﻿;

BabyArius (2011-06-08) Thanks lots!!! FInallyyy understood just watching once than reading it for hourss!!! =P﻿ Animations do helppp!!! Thank you!;

mayanthipg (2011-06-05) great to have﻿ videos like﻿ this for people like me who are ""visual﻿ learners"" :)

Thank you!;

spldrstudtom (2011-05-09) thanks! Easy﻿ to understand, good explaination.;

OxAxS (2011-04-26) @snowman3475 Sometimes the color is not so clear and therefore you'll need to use that﻿ device. The fluid you see is serum. This test is used to check if you have antibodies against the antigen in your blood. For example used for HIV and some protozoan infections like Giardia in which fecal smear usually produces negative results.;

MrMike00722 (2011-04-25) you are a scholar and a﻿ gentleman;

", 
3,"""9u9A2mktG7s""","""Episiotomy Repair: Infiltration anaesthesia at the time of crowning""",2011-10-03,"""Education""","""healthoernetwork, medicine, episiotomy, obstetrics, gynaecology, maternal health""",https://www.youtube.com/watch?v=9u9A2mktG7s&feature=youtube_gdata_player,74,54745,20,4.2727275,11,3,"This video ""Infiltration anaesthesia at the time of crowning"" by Prof. Richard Adanu (University of Ghana) and Prof. Cary Engleberg (University of Michigan) is part of a series of videos from University of Ghana College of Health Sciences about Episiotomy Repair. The complete learning module is available through the African Health OER Network at: www.oerafrica.org An episiotomy is a surgical incision through the perineum made to enlarge the vagina and assist childbirth. The incision can be midline or at an angle from the posterior end of the vulva, is performed under local anaesthetic (pudendal anesthesia) and is sutured closed after delivery. It is one of the most common medical procedures performed on women, and although its routine use in childbirth has steadily declined in recent decades. Any medical information in this material is intended to inform and educate and is not a tool for self-diagnosis or a replacement for medical evaluation, advice, diagnosis or treatment by a healthcare professional. Please speak to your physician if you have questions about your medical condition. Viewer discretion is advised: Some medical content is graphic and may not be suitable for all viewers. This is licensed under a Creative Commons Attribution Noncommercial License: creativecommons.org (C) 2009 University of Ghana Medical School","22yasmen (2012-02-06) بعد هذا الفديو قررت اني ما حجيب اطفال  ابدا بكيت رغم اني﻿ مش حامل بس من  الفديو دة كرهت  الولادة;

LilPiNat (2012-01-03) 1.first-ewww ugly vagina
2.- ugly baby:(
3.- does﻿ tht shot thing hurt?!!?!?;

reptiguy1210 (2011-12-26) Ewwwww﻿;

garniful (2011-12-15) يا خي من جد أشفق على﻿ الحريم في هذي اللحظة;

", 
4,"""vmlLj1aLZ7s""","""Intro to Polymerase Chain Reaction (PCR)""",2010-12-23,"""Education""","""health, medicine, knust, ghana, microbiology, pcr, health oer, healthoernetwork, open educational resources, polymerase chain reaction""",https://www.youtube.com/watch?v=vmlLj1aLZ7s&feature=youtube_gdata_player,416,30857,46,4.783784,37,7,"This short animation introduces the polymerase chain reaction (PCR) procedure. This resource was developed by Yaw Adu-Sarkodie of the Kwame Nkrumah University of Science and Technology and Cary Engleberg of the University of Michigan. It is part of a larger learning module about laboratory methods for clinical microbiology (available at openmi.ch 2009-2010, Kwame Nkrumah University of Science and Technology and Cary Engleberg. This is licensed under a Creative Commons Attribution Noncommercial 3.0 License creativecommons.org","jayperdu (2012-01-31) That was a good﻿ explanation, thank you;

NUTRIOR (2011-12-17) thank you﻿ very much;

torktt (2011-12-16) I NEED THIS IN CANADIAN﻿ FRENCH! 
MERCI;

openmichigan (2011-08-10) @abhijitsarmaroy1 Thanks for the feedback! The source Flash files (.FLA) for this and the other 11 microbiology animations from Cary Engleberg, Yaw Adu-Sarkodie, and Charles Agyei Osei have been added to﻿ website mentioned in the description.;

abhijitsarmaroy1 (2011-08-10) Its﻿ a very good resource, is it possible to get source of the other animated programms at your disposal;

allthebadkids (2011-06-06) @trassggoo Its a thermo cycler :)﻿;

trassggoo (2011-06-05) sorry, I cant understand , what its the name of the instrument used?
a﻿ thermo what? thermacycler ?;

trassggoo (2011-06-05) sorry, I cant understand , what its the name of the instrument﻿ used?
a thermo what?;

", 
5,"""DrAGfaLlTlk""","""Examination of the Pregnant Woman: Examination of the pregnant abdomen""",2011-09-26,"""Education""","""healthoernetwork, medicine, obstetrics, gynaecology, maternal health, health oer, oer, health education""",https://www.youtube.com/watch?v=DrAGfaLlTlk&feature=youtube_gdata_player,236,22483,15,5.0,6,1,"This video ""Examination of the Pregnant Woman: Examination of the pregnant abdomen"" is part of a multimedia-based module by Cary Engleberg (University of Michigan) and Kwabena Danso (KNUST). This programme consists of notes and demonstration videos that explain how to examine a near-term, pregnant woman. In the course of the programme, the learner will encounter the terms used to describe the relationship of the fetus to the motherapos;s anatomy, and they will be expect to interpret and describe the findings of an examination on video, using these terms. The complete learning module is available through the African Health OER Network at: www.oerafrica.org Any medical information in this material is intended to inform and educate and is not a tool for self-diagnosis or a replacement for medical evaluation, advice, diagnosis or treatment by a healthcare professional. Please speak to your physician if you have questions about your medical condition. Viewer discretion is advised: Some medical content is graphic and may not be suitable for all viewers. This is licensed under a Creative Commons Attribution Noncommercial License: creativecommons.org (c) 2009 Kwame Nkrumah University of Science and Technology.",, 
6,"""70TPrfL_8-M""","""Enzyme immunoassay (EIA) to detect antigens""",2010-12-23,"""Education""","""education, health, medicine, microbiology, antigens, health oer, healthoernetwork, open educational resources""",https://www.youtube.com/watch?v=70TPrfL_8-M&feature=youtube_gdata_player,126,19376,39,5.0,40,7,"This short animation demonstrates detection of specific antigens using the enzyme immunoassay. This resource was developed by Cary Engleberg of the University of Michigan. It is part of a larger learning module about laboratory methods for clinical microbiology (available at open.umich.edu 2009-2010, Cary Engleberg. This is licensed under a Creative Commons Attribution Noncommercial 3.0 License creativecommons.org","FlashySenap (2011-12-12) Would be good﻿ to be more specifik of what type of Elisa this is... I'm trying to find the sandwich elisa and understand the difference of that and others, but it seems to be hard to find clear information about this =(;

kzee99 (2011-11-30) This video's awesome!! THANK﻿ YOU SO MUCH!;

Drochild (2011-11-21) Too bad I didn't watch this video a﻿ month ago!;

BB0YMatty (2011-10-06) @GDQT wrong, Elisa is a type of EIA (just read what the letters stands for, it's﻿ an acronyme for a reason). 
Elisa type sandwich starts by adding a ab that is specific to the ag.;

nutz2001 (2011-08-21) thanks﻿ 4 this;

GDQT (2011-06-13) so EIA is very similar to ELISA, the only different is﻿ that ELisa is start with Ag while EIA start with Ab. both using enzyme bind Ab to detect. the enzyme is specific for a substrate that after be catalysis, the substrate will absorb light and reveal color. Is that right?;

mayanthipg (2011-06-05) great to have videos like this for people like me﻿ who are ""visual learners"" :)
Thank you!;

", 
7,"""HlsjRsemzLI""","""Examination of the Pregnant Woman: Reporting the Obstetric Abdominal Examination""",2011-09-26,"""Education""","""healthoernetwork, medicine, obstetrics, gynaecology, maternal health, health oer, oer, health education""",https://www.youtube.com/watch?v=HlsjRsemzLI&feature=youtube_gdata_player,170,15842,24,5.0,11,2,"This video ""Examination of the Pregnant Woman: Reporting the Obstetric Abdominal Examination"" is part of a multimedia-based module by Cary Engleberg (University of Michigan) and Kwabena Danso (KNUST). This programme consists of notes and demonstration videos that explain how to examine a near-term, pregnant woman. In the course of the programme, the learner will encounter the terms used to describe the relationship of the fetus to the motherapos;s anatomy, and they will be expect to interpret and describe the findings of an examination on video, using these terms. The complete learning module is available through the African Health OER Network at: www.oerafrica.org Any medical information in this material is intended to inform and educate and is not a tool for self-diagnosis or a replacement for medical evaluation, advice, diagnosis or treatment by a healthcare professional. Please speak to your physician if you have questions about your medical condition. Viewer discretion is advised: Some medical content is graphic and may not be suitable for all viewers. This is licensed under a Creative Commons Attribution Noncommercial License: creativecommons.org (c) 2009 Kwame Nkrumah University of Science and Technology.","wildspear (2011-12-11) Very﻿ informative.;

mary2001pk (2011-11-03) very﻿ helpful video for the medical students!
thanks alot;

", 
8,"""GSnqMdTJayA""","""Caesarean Section: Closure of the abdomen""",2011-10-03,"""Education""","""healthoernetwork, medicine, c-section, caesarean section, obstetrics, gynaecology, maternal health, health education""",https://www.youtube.com/watch?v=GSnqMdTJayA&feature=youtube_gdata_player,504,14121,5,3.909091,11,1,"This video ""Closure of the abdomen"" by Prof. Richard Adanu (University of Ghana) and Prof. Cary Engleberg (University of Michigan) is part of a series of videos from University of Ghana College of Health Sciences about Caesarean Section. The complete learning module is available through the African Health OER Network at: www.oerafrica.org A Caesarean section, also known as C-section, is a surgical procedure in which incisions are made through a motherapos;s abdomen (laparotomy) and uterus (hysterotomy) to deliver one or more babies. It is usually performed when a vaginal delivery would put the babyapos;s or motherapos;s life or health at risk, although in recent times it has been also performed upon request for childbirths that could otherwise have been natural. The World Health Organization (WHO) recommends that the rate of Caesarean sections should not exceed 15% in any country. This programme includes narrated surgical video of the procedure as well as interactive case exercises and a brief self-assessment. Any medical information in this material is intended to inform and educate and is not a tool for self-diagnosis or a replacement for medical evaluation, advice, diagnosis or treatment by a healthcare professional. Please speak to your physician if you have questions about your medical condition. Viewer discretion is advised: Some medical content is graphic and may not be suitable for all viewers. This is licensed under a Creative Commons Attribution Noncommercial <b>...</b>","elsibef1308 (2012-02-09) Since when was being pregnant and giveing birth a medical issue. Last﻿ time i checked. Hospital are for the ill, dying or the damaged. PREGNANCY IS NOT A MEDICAL ISSUE PEOPLE!;

subculturistic (2012-01-17) Very informative series. I am thankful that I had a non-medicated waterbirth﻿ with my daughter!;

", 
9,"""D1MMlaDm5t0""","""Episiotomy Repair: Episiotomy and delivery of the baby""",2011-10-03,"""Education""","""healthoernetwork, medicine, episiotomy, obstetrics, gynaecology, maternal health""",https://www.youtube.com/watch?v=D1MMlaDm5t0&feature=youtube_gdata_player,136,13786,24,3.909091,11,4,"This video ""Episiotomy and delivery of the baby"" by Prof. Richard Adanu (University of Ghana) and Prof. Cary Engleberg (University of Michigan) is part of a series of videos from University of Ghana College of Health Sciences about Episiotomy Repair. The complete learning module is available through the African Health OER Network at: www.oerafrica.org An episiotomy is a surgical incision through the perineum made to enlarge the vagina and assist childbirth. The incision can be midline or at an angle from the posterior end of the vulva, is performed under local anaesthetic (pudendal anesthesia) and is sutured closed after delivery. It is one of the most common medical procedures performed on women, and although its routine use in childbirth has steadily declined in recent decades. Any medical information in this material is intended to inform and educate and is not a tool for self-diagnosis or a replacement for medical evaluation, advice, diagnosis or treatment by a healthcare professional. Please speak to your physician if you have questions about your medical condition. Viewer discretion is advised: Some medical content is graphic and may not be suitable for all viewers. This is licensed under a Creative Commons Attribution Noncommercial License: creativecommons.org (C) 2009 University of Ghana Medical School","m1st3r1o (2012-01-13) meconium﻿;

mx5genesis (2011-11-19) very informative video..but it looks﻿ like the baby is meconium stained...;

pisdiz (2011-11-11) in my country we cut rhe cord about 2 cm from the﻿ babies naval;

chuladadewe (2011-10-23) exelent video,﻿ thankyou;

", 
10,"""QRMOT94KfbE""","""Episiotomy Repair: Suturing of the vaginal mucosa""",2011-10-03,"""Education""","""healthoernetwork, medicine, episiotomy, obstetrics, gynaecology, maternal health, health education""",https://www.youtube.com/watch?v=QRMOT94KfbE&feature=youtube_gdata_player,241,13347,8,4.2,5,3,"This video ""Suturing of the vaginal mucosa"" by Prof. Richard Adanu (University of Ghana) and Prof. Cary Engleberg (University of Michigan) is part of a series of videos from University of Ghana College of Health Sciences about Episiotomy Repair. The complete learning module is available through the African Health OER Network at: www.oerafrica.org An episiotomy is a surgical incision through the perineum made to enlarge the vagina and assist childbirth. The incision can be midline or at an angle from the posterior end of the vulva, is performed under local anaesthetic (pudendal anesthesia) and is sutured closed after delivery. It is one of the most common medical procedures performed on women, and although its routine use in childbirth has steadily declined in recent decades. Any medical information in this material is intended to inform and educate and is not a tool for self-diagnosis or a replacement for medical evaluation, advice, diagnosis or treatment by a healthcare professional. Please speak to your physician if you have questions about your medical condition. Viewer discretion is advised: Some medical content is graphic and may not be suitable for all viewers. This is licensed under a Creative Commons Attribution Noncommercial License: creativecommons.org (C) 2009 University of Ghana Medical School","majerr0603 (2012-01-15) This happend to me 3 years ago. I had a 4th degree episiotomy. Post surgery was brutal, and it took a year till I had sex again with my﻿ husband, because I was so scared.;

7wahka (2012-01-04) Omg﻿;

YourLocalFinn (2011-11-26) What and why the fuck have﻿ you put this here?;

", 
