Saudi Arabia,45-54,m,41.2
Egypt,45-54,m,31
Germany,25-34,m,25.8
Thailand,18-24,f,24.7
Australia,25-34,m,24.3
Thailand,35-44,f,23.9
United Kingdom,18-24,f,23
India,25-34,m,21
India,18-24,m,20.4
Australia,18-24,m,19.6
United Kingdom,25-34,m,19
Canada,18-24,f,18.9
Brazil,35-44,m,18.9
Saudi Arabia,13-17,f,18.8
Egypt,55-64,m,18.5
United Kingdom,18-24,m,18.4
Brazil,25-34,f,18.2
Canada,25-34,f,17.9
Germany,18-24,f,17.4
India,25-34,f,16.6
Thailand,25-34,f,16.2
Germany,55-64,m,15.4
Australia,18-24,f,15.1
Brazil,18-24,m,15
Germany,35-44,m,15
United Kingdom,25-34,f,14.9
Egypt,25-34,m,14.8
India,13-17,f,14.5
Australia,35-44,f,13.6
United States,35-44,m,13.4
United States,35-44,f,12.7
United States,45-54,m,12.7
Australia,35-44,m,12.3
Brazil,45-54,f,11.9
Thailand,18-24,m,11.6
United States,25-34,m,11.4
Canada,25-34,m,11.3
Germany,25-34,f,10.8
Saudi Arabia,18-24,m,10.7
Australia,65-,m,10.6
Thailand,45-54,m,10.5
Canada,18-24,m,10.2
United States,45-54,f,10
India,18-24,f,10
Saudi Arabia,55-64,m,9.9
Egypt,18-24,f,9.7
Canada,45-54,m,9.5
Saudi Arabia,25-34,m,9.4
Brazil,13-17,f,9.3
Brazil,25-34,m,9.3
Brazil,35-44,f,9.2
Egypt,35-44,f,8.8
Egypt,25-34,f,8.7
United States,25-34,f,8.6
Egypt,18-24,m,8.6
India,45-54,m,8.5
Canada,55-64,f,8.3
Canada,35-44,f,8.1
Brazil,18-24,f,8.1
Thailand,35-44,m,8.1
United States,18-24,f,7.5
United Kingdom,45-54,m,7.4
Canada,35-44,m,7.4
Germany,13-17,f,7.3
India,35-44,m,6.6
United States,55-64,m,6.4
United Kingdom,35-44,f,6.3
United Kingdom,35-44,m,5.7
Saudi Arabia,25-34,f,5.6
Canada,13-17,f,5.4
Thailand,25-34,m,5
United States,18-24,m,4.7
Australia,25-34,f,4.5
Saudi Arabia,18-24,f,4.5
United States,55-64,f,4.3
Germany,65-,m,4.3
United States,13-17,f,4.2
United Kingdom,13-17,f,4.2
Germany,18-24,m,4
Canada,13-17,m,2.9
India,13-17,m,2.6
United States,65-,m,1.6
United States,13-17,m,1.6
United Kingdom,65-,m,1.2
United States,65-,f,0.9
United Kingdom,55-64,f,0
United Kingdom,65-,f,0
United Kingdom,55-64,m,0
United Kingdom,45-54,f,0
United Kingdom,13-17,m,0
India,55-64,f,0
India,65-,f,0
India,55-64,m,0
India,45-54,f,0
India,35-44,f,0
India,65-,m,0
Canada,65-,f,0
Canada,55-64,m,0
Canada,45-54,f,0
Canada,65-,m,0
Brazil,55-64,f,0
Brazil,65-,f,0
Brazil,55-64,m,0
Brazil,65-,m,0
Brazil,45-54,m,0
Brazil,13-17,m,0
Germany,55-64,f,0
Germany,65-,f,0
Germany,45-54,f,0
Germany,35-44,f,0
Germany,45-54,m,0
Germany,13-17,m,0
Australia,55-64,f,0
Australia,65-,f,0
Australia,55-64,m,0
Australia,45-54,f,0
Australia,45-54,m,0
Australia,13-17,m,0
Thailand,55-64,f,0
Thailand,65-,f,0
Thailand,55-64,m,0
Thailand,45-54,f,0
Thailand,65-,m,0
Thailand,13-17,m,0
Egypt,55-64,f,0
Egypt,65-,f,0
Egypt,45-54,f,0
Egypt,65-,m,0
Egypt,35-44,m,0
Egypt,13-17,m,0
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Saudi Arabia,45-54,f,0
Saudi Arabia,35-44,f,0
Saudi Arabia,65-,m,0
Saudi Arabia,35-44,m,0
Saudi Arabia,13-17,m,0
