Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,5054,,$0,$0,$0,$0,4,4,0,5,,5,13,13,0,2,1,,,0.00,21
United Kingdom,1401,,$0,$0,$0,$0,,,,4,,4,1,2,1,1,0,,,0.00,8
India,1302,,$0,$0,$0,$0,3,3,0,2,,2,4,4,0,0,0,,,0.00,6
Canada,765,,$0,$0,$0,$0,1,1,0,1,,1,3,3,0,1,0,,,0.00,5
Brazil,583,,$0,$0,$0,$0,,,,0,,0,1,2,1,0,0,,,0.00,3
Germany,511,,$0,$0,$0,$0,,,,1,,1,0,1,1,0,0,,,0.00,3
Australia,442,,$0,$0,$0,$0,2,2,0,3,,3,1,1,0,2,0,,,0.00,6
Thailand,419,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Egypt,400,,$0,$0,$0,$0,1,1,0,0,,0,1,1,0,0,1,,,0.00,2
Saudi Arabia,390,,$0,$0,$0,$0,,,,1,,1,0,0,0,0,0,,,0.00,1
Spain,341,,$0,$0,$0,$0,,,,1,,1,0,0,0,0,0,,,0.00,1
Malaysia,323,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Pakistan,312,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,1,,,0.00,2
Italy,294,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Netherlands,288,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Philippines,287,,$0,$0,$0,$0,1,1,0,3,,3,1,1,0,0,1,,,0.00,5
Indonesia,283,,$0,$0,$0,$0,4,4,0,1,,1,0,0,0,1,0,,,0.00,2
Mexico,261,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Taiwan,230,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Vietnam,205,,$0,$0,$0,$0,1,1,0,1,,1,0,0,0,0,0,,,0.00,1
Portugal,200,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Turkey,195,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ireland,194,,$0,$0,$0,$0,,,,3,,3,2,2,0,0,0,,,0.00,5
Singapore,193,,$0,$0,$0,$0,,,,1,,1,1,1,0,0,0,,,0.00,2
Belgium,175,,$0,$0,$0,$0,,,,1,,1,0,0,0,0,0,,,0.00,1
South Korea,157,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Sweden,152,,$0,$0,$0,$0,,,,2,,2,0,0,0,1,0,,,0.00,3
France,149,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,1,,,0.00,2
Czech Republic,148,,$0,$0,$0,$0,,,,1,,1,0,0,0,0,0,,,0.00,1
Colombia,135,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Romania,128,,$0,$0,$0,$0,,,,2,,2,1,1,0,0,1,,,0.00,4
Jordan,126,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Poland,125,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Hungary,125,,$0,$0,$0,$0,,,,1,,1,0,0,0,0,0,,,0.00,1
Greece,120,,$0,$0,$0,$0,1,1,0,2,,2,1,1,0,0,0,,,0.00,3
Denmark,119,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Switzerland,116,,$0,$0,$0,$0,,,,2,,2,0,0,0,0,0,,,0.00,2
Iraq,107,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Peru,100,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Israel,97,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Japan,94,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Russia,88,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
New Zealand,87,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Hong Kong,85,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Algeria,83,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Argentina,80,,$0,$0,$0,$0,,,,1,,1,1,1,0,0,0,,,0.00,2
Serbia,74,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Chile,72,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
United Arab Emirates,69,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sudan,69,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Norway,69,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Slovenia,66,,$0,$0,$0,$0,,,,0,,0,0,1,1,0,0,,,0.00,2
_unknown_,62,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Slovakia,60,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Austria,55,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sri Lanka,53,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Morocco,51,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Tunisia,50,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Croatia,46,,$0,$0,$0,$0,,,,1,,1,0,0,0,0,0,,,0.00,1
South Africa,45,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Venezuela,42,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,1,,,0.00,2
Uruguay,39,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Nepal,39,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Lebanon,39,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Puerto Rico,38,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Finland,36,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bangladesh,36,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Jamaica,33,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ukraine,32,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mongolia,32,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bosnia and Herzegovina,29,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ethiopia,28,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Bulgaria,22,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Nigeria,22,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
