Date,Views,Monetizable views,Unique viewers,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
"Feb 07, 2012",,,1822,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 06, 2012",,,1891,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 05, 2012",2771,0,2126,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,1,0,,,0.00,1
"Feb 04, 2012",1628,0,1183,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 03, 2012",1016,0,742,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Feb 02, 2012",1058,0,786,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 01, 2012",1135,0,859,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 31, 2012",1309,0,1010,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 30, 2012",1147,0,850,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,1,0,,,0.00,2
"Jan 29, 2012",1064,0,806,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 28, 2012",528,0,373,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 27, 2012",205,0,116,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 26, 2012",235,0,131,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 25, 2012",231,0,145,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 24, 2012",237,0,132,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 23, 2012",266,0,157,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 22, 2012",233,0,140,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 21, 2012",326,0,186,$0,$0,$0,$0,0,0,0,0,0,0,-1,0,1,0,0,,,0.00,1
"Jan 20, 2012",459,0,246,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 19, 2012",493,0,251,$0,$0,$0,$0,0,0,0,0,0,0,1,2,1,0,0,,,0.00,3
"Jan 18, 2012",521,0,275,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 17, 2012",504,0,263,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,1,,,0.00,2
"Jan 16, 2012",513,0,283,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
