Japan,45-54,m,42.4
Indonesia,35-44,m,38.3
Japan,55-64,m,34.7
Canada,45-54,m,33.6
United States,45-54,m,31.7
Germany,55-64,m,31.3
India,45-54,m,30.1
Italy,45-54,m,29.1
Italy,55-64,m,28.3
Malaysia,35-44,m,28
Germany,45-54,m,24.7
Indonesia,45-54,m,22.3
Saudi Arabia,35-44,m,22.1
United Kingdom,55-64,m,19.3
United Kingdom,45-54,m,19.3
Indonesia,25-34,m,19.1
Malaysia,45-54,m,18.7
India,55-64,m,18
Saudi Arabia,45-54,m,17.9
United States,55-64,m,15.3
Saudi Arabia,25-34,m,15
India,35-44,m,14.2
United Kingdom,35-44,f,13.7
Italy,35-44,m,13.4
Canada,45-54,f,12.9
Germany,35-44,m,12.6
Malaysia,25-34,m,12.5
Canada,35-44,m,12.5
Japan,35-44,m,12.4
Canada,55-64,m,12.3
India,25-34,m,12.1
United States,35-44,m,11.7
United States,45-54,f,11.6
Malaysia,13-17,f,10.7
Saudi Arabia,55-64,m,10.1
Saudi Arabia,13-17,m,9.9
United Kingdom,45-54,f,9.4
Germany,45-54,f,9.3
United Kingdom,25-34,f,8.8
Italy,25-34,m,8.1
Italy,45-54,f,8
Malaysia,45-54,f,7.9
United Kingdom,35-44,m,7.5
United States,35-44,f,7.4
Germany,35-44,f,7.2
Canada,25-34,f,7
United Kingdom,25-34,m,6.8
United Kingdom,18-24,f,6.8
India,35-44,f,6.1
Malaysia,35-44,f,6.1
Saudi Arabia,18-24,m,5.3
Malaysia,18-24,m,5.3
Indonesia,18-24,m,5.3
Canada,25-34,m,5
Canada,35-44,f,5
United States,25-34,f,4.9
India,18-24,m,4.9
Saudi Arabia,18-24,f,4.8
India,25-34,f,4.8
Germany,25-34,m,4.7
Saudi Arabia,25-34,f,4.4
Malaysia,25-34,f,4.1
Malaysia,13-17,m,4
United States,25-34,m,3.8
Indonesia,55-64,m,3.8
United States,55-64,f,3.7
United Kingdom,13-17,f,3.7
Canada,18-24,f,3.7
Saudi Arabia,13-17,f,3.6
Saudi Arabia,35-44,f,3.6
India,45-54,f,3.2
Indonesia,18-24,f,3.2
Indonesia,25-34,f,3.1
United States,18-24,f,3
Italy,65-,m,3
Japan,45-54,f,2.7
Malaysia,18-24,f,2.7
Germany,55-64,f,2.5
Italy,18-24,f,2.5
United States,65-,m,2.4
Canada,65-,m,2.4
Italy,25-34,f,2.3
Germany,25-34,f,2.2
United Kingdom,18-24,m,2.1
India,13-17,m,2
United States,13-17,f,1.9
India,18-24,f,1.9
Italy,35-44,f,1.9
Saudi Arabia,65-,m,1.8
Indonesia,35-44,f,1.8
Italy,18-24,m,1.8
Canada,13-17,f,1.7
Italy,13-17,m,1.7
Japan,25-34,f,1.6
United Kingdom,65-,f,1.6
Indonesia,13-17,m,1.6
Canada,18-24,m,1.6
Saudi Arabia,45-54,f,1.5
India,65-,m,1.5
Indonesia,65-,f,1.5
Germany,65-,m,1.4
Germany,18-24,m,1.4
United States,18-24,m,1.2
Japan,25-34,m,1.2
India,13-17,f,1.2
Canada,13-17,m,1.2
United Kingdom,13-17,m,1.1
Canada,65-,f,1.1
United States,13-17,m,1
Japan,35-44,f,1
Japan,65-,m,1
Japan,18-24,f,0.9
Germany,18-24,f,0.9
Germany,13-17,m,0.9
Japan,18-24,m,0.8
Japan,13-17,m,0.8
Germany,13-17,f,0.8
Japan,13-17,f,0.6
United States,65-,f,0.5
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Japan,55-64,f,0
Japan,65-,f,0
Germany,65-,f,0
United Kingdom,55-64,f,0
United Kingdom,65-,m,0
India,55-64,f,0
India,65-,f,0
Malaysia,55-64,f,0
Malaysia,65-,f,0
Malaysia,55-64,m,0
Malaysia,65-,m,0
Indonesia,55-64,f,0
Indonesia,45-54,f,0
Indonesia,65-,m,0
Canada,55-64,f,0
Italy,55-64,f,0
Italy,65-,f,0
