Date,Views,Monetizable views,Unique viewers,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
"Feb 07, 2012",,,35,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 06, 2012",,,52,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 05, 2012",67,0,51,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 04, 2012",50,0,32,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 03, 2012",90,0,67,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 02, 2012",186,0,147,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Feb 01, 2012",74,0,55,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 31, 2012",55,0,29,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 30, 2012",54,0,29,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 29, 2012",58,0,42,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 28, 2012",80,0,51,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 27, 2012",80,0,52,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 26, 2012",78,0,50,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 25, 2012",78,0,54,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 24, 2012",77,0,50,$0,$0,$0,$0,0,0,0,1,1,0,1,1,0,0,0,,,0.00,2
"Jan 23, 2012",77,0,58,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 22, 2012",86,0,60,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 21, 2012",74,0,50,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 20, 2012",68,0,51,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 19, 2012",82,0,55,$0,$0,$0,$0,0,0,0,0,0,0,0,1,1,0,0,,,0.00,2
"Jan 18, 2012",78,0,42,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 17, 2012",72,0,47,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Jan 16, 2012",71,0,54,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 15, 2012",69,0,45,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 14, 2012",82,0,51,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 13, 2012",53,0,37,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 12, 2012",93,0,65,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,1,0,,,0.00,1
"Jan 11, 2012",97,0,68,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Jan 10, 2012",88,0,52,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 09, 2012",62,0,45,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 08, 2012",69,0,47,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 07, 2012",56,0,42,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 06, 2012",48,0,39,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 05, 2012",52,0,38,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 04, 2012",55,0,36,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 03, 2012",59,0,41,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 02, 2012",52,0,41,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 01, 2012",51,0,36,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 31, 2011",31,0,16,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
