Brazil,35-44,f,42.8
Japan,45-54,m,41.8
Germany,55-64,m,29.7
Japan,55-64,m,27.1
Germany,45-54,m,23.5
Saudi Arabia,35-44,m,23.3
India,55-64,m,22
United States,45-54,m,21.1
United Kingdom,35-44,f,20.8
India,45-54,m,20.7
Saudi Arabia,55-64,m,20.5
Canada,45-54,m,20.3
Colombia,55-64,m,19.4
Mexico,45-54,m,19.1
Colombia,35-44,m,18.8
Mexico,35-44,m,18.5
Canada,45-54,f,17
Japan,35-44,m,16.7
India,35-44,m,16.1
Saudi Arabia,25-34,m,15.9
Canada,35-44,f,14.8
United States,45-54,f,14.6
United Kingdom,25-34,f,14.6
United Kingdom,45-54,f,14.6
Brazil,45-54,m,14.3
Canada,25-34,f,14.2
India,25-34,m,13
Brazil,35-44,m,12.5
United States,35-44,m,11.6
United States,35-44,f,11.5
Mexico,18-24,m,11.5
United States,25-34,f,11.2
United Kingdom,18-24,f,10.5
Germany,35-44,m,10.1
Canada,35-44,m,10.1
Mexico,25-34,m,10
United Kingdom,45-54,m,10
Saudi Arabia,35-44,f,9.7
United Kingdom,35-44,m,9.7
Germany,45-54,f,9.6
United States,55-64,m,9.2
Colombia,35-44,f,9.2
Saudi Arabia,13-17,m,9.1
Germany,35-44,f,8.9
Saudi Arabia,45-54,m,8.6
Mexico,18-24,f,8.4
United States,18-24,f,8.2
Colombia,45-54,m,8.1
Canada,18-24,f,8.1
Colombia,18-24,f,8
Canada,25-34,m,7.7
India,18-24,m,7.5
Colombia,18-24,m,7.5
Mexico,45-54,f,7
India,45-54,f,6.7
Mexico,25-34,f,6.7
India,25-34,f,6.1
Mexico,55-64,m,5.7
Colombia,25-34,f,5.7
Brazil,18-24,m,5.5
Mexico,35-44,f,5.4
United Kingdom,25-34,m,5.4
Colombia,25-34,m,5.4
Brazil,45-54,f,5.3
Saudi Arabia,18-24,m,5
Japan,25-34,f,5
Colombia,65-,m,4.8
Brazil,25-34,m,4.8
Germany,25-34,m,4.7
Germany,25-34,f,4.6
Colombia,13-17,f,4.6
Colombia,13-17,m,4.6
Brazil,18-24,f,4.5
Brazil,55-64,m,4.3
United Kingdom,55-64,m,4
Colombia,65-,f,3.9
United States,25-34,m,3.8
Brazil,25-34,f,3.5
Canada,55-64,m,3.5
Mexico,13-17,m,2.9
United Kingdom,55-64,f,2.9
Saudi Arabia,65-,m,2.8
United Kingdom,65-,m,2.8
United States,55-64,f,2.7
Saudi Arabia,18-24,f,2.7
India,35-44,f,2.6
India,18-24,f,2.5
Canada,18-24,m,2.5
Saudi Arabia,25-34,f,2.4
Mexico,65-,m,2.4
Japan,18-24,f,2.4
Brazil,13-17,m,2.4
Germany,55-64,f,2.3
United States,65-,m,2.2
Japan,25-34,m,2.2
United Kingdom,18-24,m,2
Japan,65-,m,2
United States,18-24,m,1.9
Germany,18-24,f,1.9
Canada,65-,m,1.9
Germany,65-,m,1.6
Germany,18-24,m,1.6
Germany,13-17,m,1.5
Japan,18-24,m,1.5
India,13-17,m,1.4
Mexico,13-17,f,1.4
Japan,35-44,f,1.4
India,65-,m,1.3
Mexico,65-,f,1.2
United States,65-,f,1.1
United States,13-17,f,0.9
United Kingdom,13-17,f,0.9
United Kingdom,13-17,m,0.9
United Kingdom,65-,f,0.8
United States,13-17,m,0
India,55-64,f,0
India,65-,f,0
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Saudi Arabia,45-54,f,0
Mexico,55-64,f,0
Germany,65-,f,0
Colombia,55-64,f,0
Colombia,45-54,f,0
Japan,55-64,f,0
Japan,65-,f,0
Japan,45-54,f,0
Japan,13-17,m,0
Brazil,55-64,f,0
Brazil,65-,f,0
Brazil,65-,m,0
Canada,55-64,f,0
Canada,65-,f,0
Canada,13-17,m,0
