Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,2740,,$0,$0,$0,$0,2,2,0,1,0,1,3,3,0,0,2,,,0.00,6
India,1180,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Saudi Arabia,1119,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mexico,1083,,$0,$0,$0,$0,,,,3,0,3,0,0,0,1,0,,,0.00,4
United Kingdom,681,,$0,$0,$0,$0,,,,0,0,0,2,2,0,0,1,,,0.00,3
Germany,437,,$0,$0,$0,$0,,,,0,0,0,4,4,0,0,0,,,0.00,4
Colombia,369,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Japan,368,,$0,$0,$0,$0,,,,0,0,0,2,3,1,0,0,,,0.00,4
Brazil,355,,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
Canada,353,,$0,$0,$0,$0,,,,1,1,0,1,1,0,0,0,,,0.00,2
Pakistan,304,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Malaysia,300,,$0,$0,$0,$0,,,,0,0,0,1,1,0,1,0,,,0.00,2
Philippines,296,,$0,$0,$0,$0,,,,0,0,0,0,0,0,1,0,,,0.00,1
United Arab Emirates,289,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Australia,185,,$0,$0,$0,$0,,,,0,0,0,2,2,0,0,0,,,0.00,2
Poland,168,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Italy,162,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Indonesia,138,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Argentina,128,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Egypt,126,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
South Korea,124,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Kuwait,120,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
France,119,,$0,$0,$0,$0,,,,1,1,0,0,0,0,0,0,,,0.00,1
Spain,118,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Singapore,117,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Venezuela,97,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Netherlands,93,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ghana,86,,$0,$0,$0,$0,,,,0,0,0,0,0,0,0,1,,,0.00,1
Chile,75,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
