Date,Views,Monetizable views,Unique viewers,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
"Feb 07, 2012",,,484,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 06, 2012",,,453,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 05, 2012",677,0,517,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 04, 2012",636,0,479,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 03, 2012",529,0,386,$0,$0,$0,$0,0,0,0,0,0,0,-2,0,2,0,0,,,0.00,2
"Feb 02, 2012",564,0,415,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 01, 2012",582,0,412,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 31, 2012",634,0,451,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 30, 2012",729,0,521,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 29, 2012",715,0,536,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 28, 2012",650,0,400,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 27, 2012",427,0,293,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 26, 2012",560,0,372,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 25, 2012",688,0,438,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 24, 2012",575,0,384,$0,$0,$0,$0,0,0,0,0,0,0,-1,0,1,0,0,,,0.00,1
"Jan 23, 2012",651,0,438,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,1,,,0.00,2
"Jan 22, 2012",655,0,454,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 21, 2012",827,0,558,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 20, 2012",549,0,352,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 19, 2012",410,0,265,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 18, 2012",330,0,226,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 17, 2012",298,0,208,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 16, 2012",298,0,203,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 15, 2012",415,0,269,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 14, 2012",424,0,276,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
