Japan,45-54,m,42.3
Italy,45-54,m,28.9
Germany,45-54,m,27.2
Indonesia,45-54,m,27.2
Indonesia,35-44,m,26.4
Malaysia,45-54,m,26.3
Japan,55-64,m,25.3
Saudi Arabia,25-34,m,25.1
Italy,55-64,m,24
United States,45-54,m,23.5
United Kingdom,55-64,m,23.5
India,35-44,m,23.1
Germany,55-64,m,22.8
United Kingdom,45-54,m,22.5
India,55-64,m,20.3
Italy,35-44,m,19.8
Malaysia,45-54,f,19.3
Mexico,45-54,f,17.9
Saudi Arabia,45-54,m,17.5
Germany,35-44,m,17.4
United States,55-64,m,16.5
Mexico,45-54,m,16.3
Mexico,35-44,f,15
India,25-34,m,15
Indonesia,25-34,m,14.3
United States,35-44,m,12.7
India,45-54,m,12.7
Saudi Arabia,35-44,f,12.5
Mexico,35-44,m,11.8
United Kingdom,25-34,m,10.7
Japan,35-44,m,10.6
Saudi Arabia,55-64,m,10.5
United States,35-44,f,10.3
Malaysia,35-44,m,10.2
Italy,45-54,f,9.8
India,35-44,f,9.7
United Kingdom,13-17,f,9.6
Mexico,25-34,m,9.5
Malaysia,25-34,m,9.3
Saudi Arabia,35-44,m,8.5
Germany,35-44,f,8.5
United Kingdom,35-44,m,8.2
Mexico,13-17,f,8.1
Indonesia,55-64,m,8.1
Mexico,25-34,f,8
Saudi Arabia,18-24,m,7.8
Malaysia,25-34,f,7.7
Malaysia,35-44,f,7.5
United Kingdom,25-34,f,7.3
United States,25-34,m,7.2
India,25-34,f,7.1
United States,25-34,f,7
Saudi Arabia,18-24,f,6.7
Malaysia,18-24,f,6.7
Indonesia,25-34,f,6.7
United Kingdom,35-44,f,6.4
Indonesia,18-24,f,6.1
India,18-24,m,6
Germany,45-54,f,6
Italy,25-34,m,5.1
United States,55-64,f,5
Germany,25-34,m,4.7
Saudi Arabia,25-34,f,4.3
Indonesia,13-17,m,4.1
Germany,25-34,f,4
United States,18-24,f,3.9
Mexico,18-24,m,3.8
India,18-24,f,3.8
Malaysia,65-,f,3.8
Indonesia,18-24,m,3.8
Mexico,13-17,m,3.7
Japan,65-,m,3.7
United States,45-54,f,3.6
Japan,45-54,f,3.6
Indonesia,65-,f,3.3
Malaysia,55-64,m,3.2
United States,18-24,m,3
Italy,18-24,f,3
United States,13-17,f,2.8
Saudi Arabia,13-17,m,2.7
United Kingdom,18-24,f,2.7
United States,13-17,m,2.6
Italy,35-44,f,2.6
Saudi Arabia,13-17,f,2.5
United Kingdom,55-64,f,2.5
United Kingdom,18-24,m,2.5
Germany,13-17,m,2.5
Italy,65-,m,2.5
Mexico,55-64,m,2.4
Germany,55-64,f,2.4
Malaysia,18-24,m,2.4
Japan,25-34,m,2.4
Japan,35-44,f,2.4
Japan,18-24,f,2.4
India,13-17,m,2.2
Italy,25-34,f,2.2
United Kingdom,45-54,f,2.1
Germany,18-24,m,2.1
Italy,18-24,m,2.1
Mexico,18-24,f,2
Japan,13-17,f,2
Saudi Arabia,65-,m,1.9
Japan,18-24,m,1.9
Malaysia,65-,m,1.8
United States,65-,m,1.7
Malaysia,13-17,m,1.7
Japan,65-,f,1.7
Japan,25-34,f,1.6
Mexico,65-,m,1.4
United Kingdom,65-,m,1.4
Germany,65-,m,1.4
Germany,18-24,f,1.2
United Kingdom,13-17,m,0.8
United States,65-,f,0.4
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Saudi Arabia,45-54,f,0
Mexico,55-64,f,0
Mexico,65-,f,0
India,55-64,f,0
India,65-,f,0
India,45-54,f,0
India,65-,m,0
United Kingdom,65-,f,0
Germany,65-,f,0
Malaysia,55-64,f,0
Japan,55-64,f,0
Japan,13-17,m,0
Indonesia,55-64,f,0
Indonesia,45-54,f,0
Indonesia,35-44,f,0
Indonesia,65-,m,0
Italy,55-64,f,0
Italy,65-,f,0
Italy,13-17,m,0
