Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,3878,,$0,$0,$0,$0,,,,2,,2,3,6,3,1,0,,,0.00,12
Saudi Arabia,1943,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,1,,,0.00,2
Mexico,1580,,$0,$0,$0,$0,,,,2,,2,0,0,0,0,0,,,0.00,2
India,1299,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
United Kingdom,1126,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Germany,926,,$0,$0,$0,$0,1,1,0,0,,0,1,1,0,0,0,,,0.00,1
Malaysia,831,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Japan,750,,$0,$0,$0,$0,,,,0,,0,1,2,1,0,0,,,0.00,3
Indonesia,622,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Italy,578,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Pakistan,557,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Canada,442,,$0,$0,$0,$0,,,,0,,0,3,4,1,0,0,,,0.00,5
Russia,364,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Poland,359,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
France,352,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Egypt,330,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
South Korea,282,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Australia,275,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Philippines,239,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Brazil,225,,$0,$0,$0,$0,,,,1,,1,0,1,1,0,0,,,0.00,3
United Arab Emirates,221,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Singapore,200,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Spain,198,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Turkey,192,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sweden,190,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Thailand,179,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Vietnam,166,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Taiwan,155,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Netherlands,149,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Greece,146,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Romania,136,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Israel,122,,$0,$0,$0,$0,,,,0,,0,-1,0,1,0,0,,,0.00,1
Kuwait,116,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ukraine,112,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sudan,112,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Switzerland,111,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Belgium,109,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Hong Kong,107,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sri Lanka,96,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Czech Republic,95,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Hungary,92,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Qatar,86,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
_unknown_,83,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
New Zealand,82,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Portugal,79,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ireland,78,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Austria,76,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Denmark,75,,$0,$0,$0,$0,,,,1,,1,1,1,0,0,0,,,0.00,2
Algeria,70,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Norway,67,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Libya,62,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Finland,60,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Jordan,60,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Argentina,58,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Slovakia,56,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Iraq,56,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
