Pakistan,35-44,m,38.5
Australia,45-54,f,34.7
Philippines,13-17,f,28.2
Malaysia,35-44,m,28
Pakistan,25-34,m,27.1
United Kingdom,25-34,f,24.1
Canada,25-34,f,21.9
Malaysia,25-34,m,21.8
Australia,25-34,f,21.5
United Kingdom,35-44,f,21.3
India,25-34,m,19.3
United States,25-34,f,18.6
India,55-64,m,17.2
Canada,35-44,f,16.9
United Kingdom,45-54,f,16.5
United States,35-44,f,15.7
Canada,18-24,f,15.5
India,25-34,f,15.1
India,35-44,m,14
Philippines,25-34,f,13.9
United States,18-24,f,13.7
Malaysia,13-17,f,13.7
Malaysia,35-44,f,13.7
Australia,35-44,f,13.5
Philippines,35-44,m,13.2
Canada,13-17,f,12.7
India,13-17,f,12.3
United Kingdom,25-34,m,11.8
Canada,45-54,f,10.9
India,45-54,m,10.8
Philippines,25-34,m,10.3
Philippines,18-24,f,10.1
Malaysia,25-34,f,10.1
Canada,25-34,m,9.9
Philippines,45-54,f,9.1
Australia,25-34,m,9
Philippines,35-44,f,8.8
Canada,35-44,m,8.7
United States,45-54,m,8.3
United States,55-64,m,8.2
Pakistan,13-17,f,8.1
Pakistan,35-44,f,8.1
United States,35-44,m,8
Australia,18-24,m,8
United Kingdom,45-54,m,7.5
United Kingdom,35-44,m,7.3
United States,13-17,f,7.1
United States,45-54,f,7.1
Malaysia,18-24,f,6.9
United Kingdom,18-24,f,6.8
Australia,13-17,f,6.7
Pakistan,18-24,f,6.4
Australia,18-24,f,6.4
Pakistan,25-34,f,6
United States,25-34,m,5.8
Pakistan,18-24,m,5.8
Malaysia,18-24,m,5.8
Philippines,18-24,m,4.6
India,18-24,m,4
India,18-24,f,3.6
Canada,18-24,m,3.6
United Kingdom,18-24,m,2.5
United States,55-64,f,2.4
United States,18-24,m,2.2
United Kingdom,13-17,f,2.1
India,35-44,f,2
Philippines,13-17,m,1.9
United States,13-17,m,1.7
India,13-17,m,1.7
United States,65-,f,0.7
United States,65-,m,0.7
India,55-64,f,0
India,65-,f,0
India,45-54,f,0
India,65-,m,0
Philippines,55-64,f,0
Philippines,65-,f,0
Philippines,55-64,m,0
Philippines,65-,m,0
Philippines,45-54,m,0
United Kingdom,55-64,f,0
United Kingdom,65-,f,0
United Kingdom,55-64,m,0
United Kingdom,65-,m,0
United Kingdom,13-17,m,0
Pakistan,55-64,f,0
Pakistan,65-,f,0
Pakistan,55-64,m,0
Pakistan,45-54,f,0
Pakistan,65-,m,0
Pakistan,45-54,m,0
Pakistan,13-17,m,0
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Saudi Arabia,25-34,m,0
Saudi Arabia,25-34,f,0
Saudi Arabia,55-64,m,0
Saudi Arabia,45-54,f,0
Saudi Arabia,35-44,f,0
Saudi Arabia,18-24,f,0
Saudi Arabia,65-,m,0
Saudi Arabia,35-44,m,0
Saudi Arabia,45-54,m,0
Saudi Arabia,18-24,m,0
Saudi Arabia,13-17,m,0
Canada,55-64,f,0
Canada,65-,f,0
Canada,55-64,m,0
Canada,65-,m,0
Canada,45-54,m,0
Canada,13-17,m,0
Malaysia,55-64,f,0
Malaysia,65-,f,0
Malaysia,55-64,m,0
Malaysia,45-54,f,0
Malaysia,65-,m,0
Malaysia,45-54,m,0
Malaysia,13-17,m,0
Australia,55-64,f,0
Australia,65-,f,0
Australia,55-64,m,0
Australia,65-,m,0
Australia,35-44,m,0
Australia,45-54,m,0
Australia,13-17,m,0
Germany,55-64,f,0
Germany,65-,f,0
Germany,25-34,m,0
Germany,25-34,f,0
Germany,55-64,m,0
Germany,45-54,f,0
Germany,35-44,f,0
Germany,18-24,f,0
Germany,65-,m,0
Germany,35-44,m,0
Germany,45-54,m,0
Germany,18-24,m,0
Germany,13-17,m,0
