Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,3591,,$0,$0,$0,$0,1,1,0,2,0,2,1,1,0,1,1,,,0.00,5
India,1462,,$0,$0,$0,$0,,,,1,1,0,0,0,0,0,0,,,0.00,1
Philippines,1264,,$0,$0,$0,$0,,,,4,2,2,1,1,0,0,0,,,0.00,5
United Kingdom,829,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Pakistan,675,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Saudi Arabia,583,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Canada,342,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Malaysia,281,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Australia,234,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Germany,230,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Indonesia,227,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Greece,218,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Egypt,214,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Russia,193,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Japan,169,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
United Arab Emirates,144,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Brazil,144,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Romania,141,,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
Poland,139,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mexico,130,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Israel,130,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Italy,113,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Singapore,109,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
South Africa,98,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
South Korea,97,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Thailand,93,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Turkey,85,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Netherlands,66,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
