Date,Views,Monetizable views,Unique viewers,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
"Feb 07, 2012",,,359,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 06, 2012",,,408,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 05, 2012",488,0,386,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 04, 2012",569,0,453,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Feb 03, 2012",545,0,442,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 02, 2012",534,0,445,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Feb 01, 2012",475,0,356,$0,$0,$0,$0,0,0,0,1,0,1,2,2,0,0,0,,,0.00,3
"Jan 31, 2012",470,0,367,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 30, 2012",441,0,334,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 29, 2012",387,0,319,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 28, 2012",356,0,282,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 27, 2012",282,0,206,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 26, 2012",307,0,227,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 25, 2012",305,0,236,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 24, 2012",277,0,211,$0,$0,$0,$0,0,0,0,0,0,0,-1,0,1,0,0,,,0.00,1
"Jan 23, 2012",318,0,251,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,1,,,0.00,2
"Jan 22, 2012",309,0,233,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 21, 2012",408,0,325,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 20, 2012",256,0,202,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 19, 2012",222,0,174,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 18, 2012",229,0,166,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 17, 2012",252,0,190,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 16, 2012",228,0,183,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 15, 2012",224,0,173,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
