Japan,45-54,m,49.1
Indonesia,35-44,m,46.3
Italy,45-54,m,38.9
United Kingdom,45-54,m,33.2
Saudi Arabia,35-44,f,30
India,45-54,m,29.4
Germany,55-64,m,27.5
Canada,45-54,m,25.6
Germany,45-54,m,24.4
Italy,55-64,m,21.7
United States,45-54,m,20.8
Japan,55-64,m,18.1
India,35-44,m,17.9
United Kingdom,55-64,m,17.4
Malaysia,45-54,f,17.4
Italy,35-44,m,17.1
Malaysia,45-54,m,15.8
United Kingdom,35-44,m,15.3
Saudi Arabia,25-34,m,15.1
Saudi Arabia,45-54,m,15.1
India,55-64,m,15.1
Germany,35-44,f,14.7
Canada,45-54,f,14.1
Japan,35-44,m,13.7
Canada,35-44,m,13.7
Malaysia,35-44,f,13.5
Saudi Arabia,18-24,m,13
United States,35-44,m,12.8
Canada,25-34,f,12.6
United States,55-64,m,12.2
Germany,35-44,m,12.2
Saudi Arabia,35-44,m,11.7
India,25-34,m,11.6
United States,35-44,f,11
United Kingdom,35-44,f,10.6
Malaysia,25-34,m,9.4
Indonesia,25-34,m,9.4
Malaysia,18-24,f,9.3
Indonesia,55-64,m,8.4
United States,25-34,f,7.9
Indonesia,25-34,f,7.9
United States,45-54,f,7.8
Malaysia,35-44,m,7.7
United Kingdom,25-34,m,7.5
Saudi Arabia,25-34,f,7.4
India,18-24,m,7.3
Canada,25-34,m,7.3
Canada,35-44,f,7.3
Malaysia,25-34,f,7.2
Indonesia,45-54,m,7
Malaysia,55-64,f,6.9
United States,25-34,m,6.6
United Kingdom,25-34,f,6.1
India,25-34,f,5.9
United States,18-24,f,5.6
Canada,18-24,f,5.5
Indonesia,18-24,f,5.2
Germany,25-34,m,5.1
Saudi Arabia,18-24,f,4.8
India,13-17,f,4.8
Italy,55-64,f,4.5
United States,55-64,f,4.3
Japan,65-,m,4.2
Indonesia,13-17,m,4.2
Germany,25-34,f,4
Indonesia,13-17,f,4
Indonesia,35-44,f,4
Italy,25-34,m,4
Italy,25-34,f,4
United States,13-17,f,3.9
Malaysia,65-,f,3.9
Canada,55-64,m,3.8
Malaysia,13-17,m,3.6
Canada,13-17,f,3.6
United Kingdom,13-17,f,3.5
Indonesia,18-24,m,3.5
Italy,35-44,f,3.5
Italy,18-24,f,3.3
Saudi Arabia,13-17,m,3.1
Malaysia,18-24,m,3.1
United States,18-24,m,3
India,18-24,f,3
Japan,25-34,f,3
Italy,18-24,m,3
United Kingdom,18-24,m,2.8
Germany,55-64,f,2.5
India,13-17,m,2.5
Japan,35-44,f,2.5
Germany,13-17,f,2.4
India,35-44,f,2.4
United States,65-,m,2.3
Malaysia,13-17,f,2.3
Canada,65-,m,2.3
Germany,45-54,f,2.1
Germany,18-24,f,2.1
United Kingdom,18-24,f,2.1
Canada,18-24,m,2.1
Japan,13-17,f,2
Japan,25-34,m,2
Canada,65-,f,2
Japan,45-54,f,1.8
Japan,18-24,f,1.8
Japan,18-24,m,1.8
Germany,18-24,m,1.6
United Kingdom,13-17,m,1.6
United States,13-17,m,1.5
Germany,65-,m,1.5
United States,65-,f,0.5
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Saudi Arabia,55-64,m,0
Saudi Arabia,45-54,f,0
Saudi Arabia,65-,m,0
Germany,65-,f,0
Germany,13-17,m,0
India,55-64,f,0
India,65-,f,0
India,45-54,f,0
India,65-,m,0
United Kingdom,55-64,f,0
United Kingdom,65-,f,0
United Kingdom,45-54,f,0
United Kingdom,65-,m,0
Malaysia,55-64,m,0
Malaysia,65-,m,0
Japan,55-64,f,0
Japan,65-,f,0
Japan,13-17,m,0
Indonesia,55-64,f,0
Indonesia,65-,f,0
Indonesia,45-54,f,0
Indonesia,65-,m,0
Canada,55-64,f,0
Canada,13-17,m,0
Italy,65-,f,0
Italy,45-54,f,0
Italy,65-,m,0
Italy,13-17,m,0
