Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,3151,,$0,$0,$0,$0,,,,0,,0,4,6,2,0,0,,,0.00,8
Saudi Arabia,1103,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,1,,,0.00,2
Germany,1010,,$0,$0,$0,$0,,,,0,,0,2,2,0,0,0,,,0.00,2
India,805,,$0,$0,$0,$0,1,1,0,0,,0,2,2,0,0,0,,,0.00,2
United Kingdom,795,,$0,$0,$0,$0,1,1,0,1,,1,2,2,0,0,0,,,0.00,3
Malaysia,641,,$0,$0,$0,$0,,,,2,,2,0,0,0,0,1,,,0.00,3
Japan,627,,$0,$0,$0,$0,,,,0,,0,0,1,1,0,0,,,0.00,2
Indonesia,554,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Canada,416,,$0,$0,$0,$0,,,,0,,0,4,4,0,0,0,,,0.00,4
Italy,388,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Pakistan,382,,$0,$0,$0,$0,,,,2,,2,2,2,0,1,1,,,0.00,6
France,314,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Egypt,293,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Poland,292,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Russia,282,,$0,$0,$0,$0,,,,1,,1,3,3,0,0,0,,,0.00,4
Brazil,238,,$0,$0,$0,$0,,,,1,,1,1,1,0,0,0,,,0.00,2
Sudan,183,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
South Korea,178,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Australia,174,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mexico,162,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Spain,161,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Thailand,150,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Turkey,141,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Netherlands,128,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Taiwan,122,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ukraine,118,,$0,$0,$0,$0,,,,1,,1,1,1,0,0,0,,,0.00,2
Greece,117,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Sweden,111,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Philippines,106,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Switzerland,105,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Romania,102,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Vietnam,101,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Singapore,101,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
United Arab Emirates,92,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
