Date,Views,Monetizable views,Unique viewers,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
"Feb 07, 2012",,,174,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 06, 2012",,,186,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 05, 2012",183,0,134,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Feb 04, 2012",135,0,102,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 03, 2012",155,0,121,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Feb 02, 2012",228,0,169,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Feb 01, 2012",237,0,180,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 31, 2012",229,0,169,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,1,,,0.00,2
"Jan 30, 2012",222,0,164,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 29, 2012",193,0,146,$0,$0,$0,$0,0,0,0,1,0,1,2,2,0,0,0,,,0.00,3
"Jan 28, 2012",142,0,109,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 27, 2012",188,0,139,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 26, 2012",181,0,131,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 25, 2012",248,0,190,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,0,0,,,0.00,2
"Jan 24, 2012",260,0,192,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,1,,,0.00,2
"Jan 23, 2012",222,0,166,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,0,0,,,0.00,2
"Jan 22, 2012",229,0,170,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 21, 2012",179,0,134,$0,$0,$0,$0,0,0,0,1,0,1,-2,0,2,0,1,,,0.00,4
"Jan 20, 2012",224,0,159,$0,$0,$0,$0,1,2,1,0,0,0,2,2,0,0,0,,,0.00,2
"Jan 19, 2012",261,0,190,$0,$0,$0,$0,0,0,0,1,0,1,2,2,0,0,0,,,0.00,3
"Jan 18, 2012",324,0,241,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,1,0,,,0.00,2
"Jan 17, 2012",283,0,203,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Jan 16, 2012",207,0,150,$0,$0,$0,$0,0,0,0,2,0,2,1,1,0,1,0,,,0.00,4
"Jan 15, 2012",199,0,156,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 14, 2012",132,0,100,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 13, 2012",149,0,106,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 12, 2012",209,0,147,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 11, 2012",236,0,183,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,1,,,0.00,1
"Jan 10, 2012",209,0,142,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 09, 2012",211,0,149,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 08, 2012",186,0,142,$0,$0,$0,$0,0,0,0,1,1,0,0,0,0,0,0,,,0.00,1
"Jan 07, 2012",159,0,118,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 06, 2012",162,0,124,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,1,0,,,0.00,3
"Jan 05, 2012",214,0,162,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 04, 2012",483,0,405,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 03, 2012",166,0,117,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 02, 2012",141,0,103,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 01, 2012",93,0,77,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 31, 2011",83,0,58,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 30, 2011",105,0,67,$0,$0,$0,$0,-1,0,1,1,0,1,1,1,0,0,0,,,0.00,2
"Dec 29, 2011",91,0,66,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 28, 2011",108,0,78,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 27, 2011",124,0,95,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 26, 2011",110,0,85,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 25, 2011",87,0,66,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 24, 2011",91,0,63,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 23, 2011",96,0,76,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Dec 22, 2011",168,0,122,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 21, 2011",154,0,116,$0,$0,$0,$0,1,1,0,0,0,0,0,1,1,0,0,,,0.00,2
"Dec 20, 2011",158,0,124,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 19, 2011",182,0,140,$0,$0,$0,$0,0,0,0,3,0,3,0,0,0,0,0,,,0.00,3
"Dec 18, 2011",227,0,157,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 17, 2011",159,0,115,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 16, 2011",154,0,114,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 15, 2011",255,0,182,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 14, 2011",244,0,186,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 13, 2011",311,0,218,$0,$0,$0,$0,0,0,0,1,0,1,2,2,0,0,0,,,0.00,3
"Dec 12, 2011",262,0,195,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 11, 2011",249,0,192,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 10, 2011",175,0,129,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Dec 09, 2011",179,0,150,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 08, 2011",296,0,199,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 07, 2011",287,0,219,$0,$0,$0,$0,2,2,0,1,0,1,0,0,0,1,0,,,0.00,2
"Dec 06, 2011",295,0,219,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 05, 2011",308,0,217,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 04, 2011",313,0,223,$0,$0,$0,$0,1,1,0,2,0,2,1,1,0,0,0,,,0.00,3
"Dec 03, 2011",218,0,141,$0,$0,$0,$0,1,1,0,0,0,0,2,2,0,0,0,,,0.00,2
"Dec 02, 2011",187,0,145,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 01, 2011",265,0,207,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 30, 2011",311,0,230,$0,$0,$0,$0,1,1,0,3,0,3,0,0,0,1,0,,,0.00,4
"Nov 29, 2011",307,0,224,$0,$0,$0,$0,1,1,0,1,0,1,1,1,0,0,0,,,0.00,2
"Nov 28, 2011",301,0,222,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 27, 2011",241,0,177,$0,$0,$0,$0,1,1,0,0,0,0,1,1,0,0,0,,,0.00,1
"Nov 26, 2011",163,0,118,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Nov 25, 2011",190,0,137,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,1,,,0.00,2
"Nov 24, 2011",217,0,158,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 23, 2011",263,0,189,$0,$0,$0,$0,0,1,1,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 22, 2011",250,0,187,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Nov 21, 2011",257,0,191,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 20, 2011",332,0,227,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,1,0,,,0.00,2
"Nov 19, 2011",234,0,156,$0,$0,$0,$0,2,2,0,3,0,3,0,0,0,0,0,,,0.00,3
"Nov 18, 2011",192,0,143,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Nov 17, 2011",269,0,211,$0,$0,$0,$0,1,1,0,2,0,2,0,0,0,0,0,,,0.00,2
"Nov 16, 2011",286,0,219,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,1,0,,,0.00,3
"Nov 15, 2011",288,0,218,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Nov 14, 2011",227,0,170,$0,$0,$0,$0,1,1,0,2,0,2,0,0,0,1,0,,,0.00,3
"Nov 13, 2011",273,0,203,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Nov 12, 2011",146,0,109,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,0,0,,,0.00,2
"Nov 11, 2011",179,0,132,$0,$0,$0,$0,0,0,0,2,0,2,1,1,0,1,0,,,0.00,4
"Nov 10, 2011",241,0,196,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 09, 2011",295,0,221,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,1,,,0.00,2
"Nov 08, 2011",283,0,203,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,1,,,0.00,2
"Nov 07, 2011",279,0,208,$0,$0,$0,$0,0,0,0,2,0,2,1,1,0,0,0,,,0.00,3
"Nov 06, 2011",227,0,172,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Nov 05, 2011",168,0,119,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 04, 2011",167,0,130,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Nov 03, 2011",271,0,201,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Nov 02, 2011",259,0,183,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 01, 2011",250,0,178,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Oct 31, 2011",262,0,189,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 30, 2011",246,0,171,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,0,,,0.00,1
"Oct 29, 2011",152,0,113,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Oct 28, 2011",161,0,119,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,1,0,,,0.00,3
"Oct 27, 2011",215,0,177,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 26, 2011",249,0,174,$0,$0,$0,$0,0,0,0,1,0,1,2,2,0,1,1,,,0.00,5
"Oct 25, 2011",255,0,191,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 24, 2011",231,0,161,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Oct 23, 2011",234,0,174,$0,$0,$0,$0,1,1,0,2,0,2,1,1,0,0,0,,,0.00,3
"Oct 22, 2011",156,0,108,$0,$0,$0,$0,1,1,0,1,0,1,1,1,0,0,0,,,0.00,2
"Oct 21, 2011",149,0,104,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 20, 2011",233,0,185,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 19, 2011",270,0,195,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Oct 18, 2011",260,0,198,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Oct 17, 2011",267,0,212,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Oct 16, 2011",205,0,155,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Oct 15, 2011",135,0,95,$0,$0,$0,$0,0,0,0,2,0,2,2,2,0,0,0,,,0.00,4
"Oct 14, 2011",155,0,113,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Oct 13, 2011",182,0,144,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 12, 2011",181,0,138,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 11, 2011",185,0,151,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,0,1,,,0.00,3
"Oct 10, 2011",205,0,149,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 09, 2011",165,0,122,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 08, 2011",119,0,97,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 07, 2011",117,0,98,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 06, 2011",161,0,124,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 05, 2011",237,0,169,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 04, 2011",156,0,126,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Oct 03, 2011",186,0,132,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Oct 02, 2011",153,0,114,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Oct 01, 2011",113,0,90,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 30, 2011",131,0,94,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 29, 2011",105,0,85,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 28, 2011",197,0,138,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 27, 2011",171,0,129,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 26, 2011",163,0,130,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 25, 2011",157,0,122,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 24, 2011",116,0,90,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Sep 23, 2011",94,0,73,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Sep 22, 2011",143,0,101,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,1,0,,,0.00,3
"Sep 21, 2011",140,0,110,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Sep 20, 2011",170,0,129,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Sep 19, 2011",145,0,118,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 18, 2011",168,0,128,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Sep 17, 2011",100,0,78,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 16, 2011",152,0,109,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Sep 15, 2011",179,0,119,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 14, 2011",163,0,125,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 13, 2011",210,0,158,$0,$0,$0,$0,1,1,0,1,0,1,2,2,0,0,0,,,0.00,3
"Sep 12, 2011",149,0,113,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 11, 2011",132,0,101,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,2,,,0.00,3
"Sep 10, 2011",98,0,70,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 09, 2011",106,0,75,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Sep 08, 2011",142,0,100,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Sep 07, 2011",138,0,103,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Sep 06, 2011",139,0,108,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Sep 05, 2011",108,0,80,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
