Brazil,35-44,m,27
Thailand,18-24,f,24.8
Germany,13-17,f,23
Canada,45-54,m,22.2
Egypt,55-64,m,21.2
Thailand,35-44,m,20.5
Egypt,25-34,m,20.3
Italy,25-34,m,20.1
United Kingdom,18-24,f,20
India,25-34,m,19.2
Brazil,25-34,m,18.6
United Kingdom,25-34,m,16.6
Italy,18-24,f,16.2
Germany,25-34,m,16.1
Egypt,18-24,m,15.3
India,18-24,m,14.9
Canada,18-24,f,14.8
Canada,25-34,m,14.2
United States,35-44,f,13.8
Italy,35-44,f,13.6
United States,45-54,f,13.3
Egypt,45-54,m,13.3
Thailand,25-34,f,13.3
Saudi Arabia,35-44,m,13.1
Saudi Arabia,45-54,m,12.7
Canada,25-34,f,12.6
United States,45-54,m,12.3
Italy,35-44,m,12.3
India,18-24,f,12.2
Germany,35-44,m,12.2
Italy,18-24,m,12.2
Thailand,35-44,f,12
Italy,45-54,f,11.7
United Kingdom,45-54,m,11.3
United Kingdom,18-24,m,11.3
United States,25-34,f,11
Saudi Arabia,25-34,m,10.9
India,45-54,m,10.7
Saudi Arabia,25-34,f,10.7
India,55-64,m,10.6
United States,25-34,m,10.5
United Kingdom,35-44,m,10.5
Germany,18-24,m,10.4
Saudi Arabia,18-24,m,10.2
Saudi Arabia,55-64,m,10.1
Germany,18-24,f,10
Egypt,18-24,f,10
Brazil,25-34,f,9.8
United Kingdom,25-34,f,9.6
Brazil,18-24,f,9.6
Saudi Arabia,13-17,f,9.6
Italy,25-34,f,9.5
Brazil,18-24,m,9.3
Saudi Arabia,18-24,f,9.2
India,35-44,m,9
Germany,45-54,m,9
United States,35-44,m,8.9
Thailand,18-24,m,8.9
Brazil,13-17,f,8.2
Canada,35-44,m,8.1
United States,18-24,f,7.8
India,45-54,f,7.8
United States,55-64,m,7.2
India,25-34,f,7.2
Saudi Arabia,35-44,f,7.2
Egypt,35-44,m,6.9
Canada,18-24,m,6.8
Brazil,35-44,f,6.8
Egypt,25-34,f,6.8
United Kingdom,35-44,f,6.4
Saudi Arabia,45-54,f,6.2
United States,18-24,m,6
United Kingdom,55-64,m,5.4
Germany,13-17,m,5.4
Germany,25-34,f,5.3
Thailand,45-54,f,5.2
Egypt,35-44,f,5
Canada,55-64,f,4.9
Brazil,45-54,m,4.8
Canada,13-17,f,4.7
Italy,13-17,f,4.5
India,13-17,m,4.3
Thailand,55-64,m,4.2
United States,55-64,f,4.1
United Kingdom,55-64,f,4
Thailand,13-17,f,4
Germany,55-64,f,3.9
Canada,35-44,f,3.9
Thailand,25-34,m,3.7
Brazil,45-54,f,3.5
Thailand,45-54,m,3.5
United Kingdom,45-54,f,3.3
India,13-17,f,3
Canada,13-17,m,2.9
Germany,35-44,f,2.6
Brazil,65-,m,2.4
United States,13-17,f,2.2
Canada,45-54,f,2
Canada,55-64,m,1.7
United Kingdom,13-17,f,1.3
Egypt,13-17,m,1.3
United States,65-,m,1.2
United States,13-17,m,1.1
Germany,65-,f,1.1
India,35-44,f,1
Germany,65-,m,0.9
Canada,65-,f,0.7
Canada,65-,m,0.6
United States,65-,f,0.5
United Kingdom,65-,m,0.4
India,55-64,f,0
India,65-,f,0
India,65-,m,0
United Kingdom,65-,f,0
United Kingdom,13-17,m,0
Germany,55-64,m,0
Germany,45-54,f,0
Brazil,55-64,f,0
Brazil,65-,f,0
Brazil,55-64,m,0
Brazil,13-17,m,0
Italy,55-64,f,0
Italy,65-,f,0
Italy,55-64,m,0
Italy,65-,m,0
Italy,45-54,m,0
Italy,13-17,m,0
Egypt,55-64,f,0
Egypt,65-,f,0
Egypt,45-54,f,0
Egypt,65-,m,0
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Saudi Arabia,65-,m,0
Saudi Arabia,13-17,m,0
Thailand,55-64,f,0
Thailand,65-,f,0
Thailand,65-,m,0
Thailand,13-17,m,0
