Italy,45-54,m,47.2
Japan,45-54,m,46.6
Indonesia,35-44,m,39.1
Germany,55-64,m,34.1
Malaysia,45-54,m,30.7
India,55-64,m,29.3
Japan,55-64,m,29.3
Germany,45-54,m,26.7
United Kingdom,55-64,m,26
United Kingdom,45-54,m,25.1
Canada,55-64,m,25.1
United States,45-54,m,24.5
Malaysia,45-54,f,24
Saudi Arabia,35-44,m,22.4
Canada,45-54,m,22.4
United States,55-64,m,20.7
Saudi Arabia,45-54,m,20.4
Italy,55-64,m,20.4
Indonesia,45-54,m,20.2
India,25-34,m,19.3
Canada,35-44,m,18.6
United States,35-44,m,17.6
Italy,35-44,m,16.8
India,35-44,m,15.8
Saudi Arabia,25-34,m,14.6
India,45-54,m,14.3
Malaysia,35-44,m,14.3
Indonesia,25-34,m,14
Japan,35-44,m,12.7
Saudi Arabia,55-64,m,12.2
Germany,35-44,m,12.1
United Kingdom,35-44,m,11.1
Canada,45-54,f,11
United States,45-54,f,10.9
United Kingdom,25-34,m,9.5
Germany,45-54,f,9.1
Saudi Arabia,18-24,m,8.6
Malaysia,25-34,m,8.6
India,18-24,m,7.2
United Kingdom,35-44,f,7.1
Malaysia,25-34,f,7.1
Indonesia,25-34,f,7.1
United Kingdom,13-17,f,6.5
Canada,25-34,f,6.3
United States,35-44,f,6.1
Germany,35-44,f,6.1
Indonesia,55-64,m,6
Saudi Arabia,35-44,f,5.8
United States,25-34,m,5.5
Saudi Arabia,45-54,f,5
United Kingdom,45-54,f,5
India,25-34,f,4.9
Germany,25-34,m,4.9
Indonesia,13-17,m,4.6
Italy,25-34,m,4.5
Malaysia,18-24,f,4.2
United States,25-34,f,3.8
United Kingdom,25-34,f,3.8
Italy,25-34,f,3.7
Canada,25-34,m,3.6
Malaysia,13-17,f,3.5
Germany,25-34,f,3.4
Indonesia,18-24,m,3.4
Saudi Arabia,25-34,f,3.3
Saudi Arabia,13-17,m,3.1
Indonesia,35-44,f,2.9
Saudi Arabia,18-24,f,2.8
Malaysia,18-24,m,2.8
United States,55-64,f,2.7
Indonesia,18-24,f,2.7
Italy,65-,m,2.6
India,13-17,m,2.5
Canada,35-44,f,2.5
India,13-17,f,2.3
Malaysia,35-44,f,2.3
India,18-24,f,2.2
United States,18-24,f,2.1
United States,65-,m,2.1
United Kingdom,18-24,m,2.1
Japan,25-34,m,2
Italy,18-24,f,2
Canada,65-,m,2
Canada,18-24,m,2
Saudi Arabia,13-17,f,1.9
Canada,18-24,f,1.9
United States,18-24,m,1.7
United Kingdom,65-,f,1.7
Japan,35-44,f,1.7
Canada,13-17,f,1.7
Germany,18-24,m,1.6
Japan,25-34,f,1.6
Canada,13-17,m,1.6
United States,13-17,f,1.5
Italy,35-44,f,1.5
Canada,65-,f,1.5
Japan,65-,m,1.3
Italy,18-24,m,1.3
Malaysia,65-,f,1.3
India,35-44,f,1.2
Japan,18-24,f,1.2
Japan,18-24,m,1.2
Japan,13-17,m,1.2
Malaysia,13-17,m,1.2
India,65-,m,1.1
United Kingdom,65-,m,1.1
Japan,45-54,f,1.1
Germany,65-,m,1
Germany,18-24,f,0.9
United Kingdom,18-24,f,0.9
United States,13-17,m,0.7
United States,65-,f,0.1
Saudi Arabia,55-64,f,0
Saudi Arabia,65-,f,0
Saudi Arabia,65-,m,0
India,55-64,f,0
India,65-,f,0
India,45-54,f,0
Germany,55-64,f,0
Germany,65-,f,0
Germany,13-17,m,0
United Kingdom,55-64,f,0
United Kingdom,13-17,m,0
Japan,55-64,f,0
Japan,65-,f,0
Italy,55-64,f,0
Italy,65-,f,0
Italy,45-54,f,0
Italy,13-17,m,0
Malaysia,55-64,f,0
Malaysia,55-64,m,0
Malaysia,65-,m,0
Indonesia,55-64,f,0
Indonesia,65-,f,0
Indonesia,45-54,f,0
Indonesia,65-,m,0
Canada,55-64,f,0
