Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,4530,,$0,$0,$0,$0,,,,1,,1,7,10,3,1,0,,,0.00,15
Saudi Arabia,2667,,$0,$0,$0,$0,,,,0,,0,0,0,0,0,1,,,0.00,1
India,1366,,$0,$0,$0,$0,,,,2,,2,3,3,0,0,0,,,0.00,5
Germany,1007,,$0,$0,$0,$0,,,,0,,0,4,4,0,0,0,,,0.00,4
United Kingdom,981,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Japan,968,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Italy,816,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Malaysia,783,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Indonesia,558,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Canada,518,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Pakistan,459,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Mexico,443,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
France,431,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Poland,399,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Egypt,386,,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
United Arab Emirates,293,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Brazil,251,,$0,$0,$0,$0,1,1,0,1,,1,1,1,0,0,0,,,0.00,2
South Korea,244,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Australia,242,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Spain,239,,$0,$0,$0,$0,,,,0,,0,1,1,0,0,0,,,0.00,1
Turkey,220,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
