Date,Views,Monetizable views,Unique viewers,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
"Feb 07, 2012",,,208,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 06, 2012",,,211,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
"Feb 05, 2012",241,0,179,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Feb 04, 2012",200,0,153,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,0,0,,,0.00,2
"Feb 03, 2012",215,0,172,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Feb 02, 2012",278,0,217,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,1,0,,,0.00,2
"Feb 01, 2012",314,0,240,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 31, 2012",278,0,224,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 30, 2012",346,0,270,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Jan 29, 2012",271,0,210,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 28, 2012",224,0,160,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 27, 2012",220,0,174,$0,$0,$0,$0,0,0,0,1,0,1,3,3,0,1,0,,,0.00,5
"Jan 26, 2012",288,0,223,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,1,0,,,0.00,1
"Jan 25, 2012",269,0,213,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 24, 2012",310,0,242,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 23, 2012",277,0,226,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 22, 2012",271,0,212,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 21, 2012",203,0,160,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 20, 2012",233,0,174,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Jan 19, 2012",294,0,216,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 18, 2012",353,0,274,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 17, 2012",267,0,207,$0,$0,$0,$0,1,1,0,3,0,3,1,1,0,1,0,,,0.00,5
"Jan 16, 2012",250,0,194,$0,$0,$0,$0,0,0,0,0,0,0,2,2,0,0,0,,,0.00,2
"Jan 15, 2012",264,0,201,$0,$0,$0,$0,1,1,0,2,0,2,0,0,0,1,0,,,0.00,3
"Jan 14, 2012",193,0,141,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Jan 13, 2012",199,0,154,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 12, 2012",261,0,198,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Jan 11, 2012",249,0,172,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,1,0,,,0.00,3
"Jan 10, 2012",233,0,189,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,1,,,0.00,2
"Jan 09, 2012",247,0,190,$0,$0,$0,$0,1,1,0,2,0,2,1,1,0,0,0,,,0.00,3
"Jan 08, 2012",223,0,167,$0,$0,$0,$0,0,0,0,0,0,0,3,3,0,0,0,,,0.00,3
"Jan 07, 2012",149,0,113,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 06, 2012",215,0,158,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 05, 2012",229,0,171,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 04, 2012",228,0,177,$0,$0,$0,$0,1,1,0,4,0,4,0,0,0,0,1,,,0.00,5
"Jan 03, 2012",199,0,154,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Jan 02, 2012",152,0,111,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Jan 01, 2012",103,0,82,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 31, 2011",90,0,68,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 30, 2011",111,0,89,$0,$0,$0,$0,2,2,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 29, 2011",153,0,113,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 28, 2011",129,0,99,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Dec 27, 2011",150,0,110,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 26, 2011",123,0,92,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 25, 2011",96,0,81,$0,$0,$0,$0,0,0,0,1,0,1,1,1,0,0,0,,,0.00,2
"Dec 24, 2011",94,0,61,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Dec 23, 2011",104,0,77,$0,$0,$0,$0,1,1,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 22, 2011",141,0,112,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Dec 21, 2011",205,0,149,$0,$0,$0,$0,0,0,0,2,0,2,-3,0,3,0,0,,,0.00,5
"Dec 20, 2011",240,0,190,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 19, 2011",240,0,196,$0,$0,$0,$0,0,0,0,2,0,2,1,1,0,0,0,,,0.00,3
"Dec 18, 2011",200,0,156,$0,$0,$0,$0,0,0,0,2,0,2,0,0,0,0,0,,,0.00,2
"Dec 17, 2011",155,0,124,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 16, 2011",166,0,137,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,1,0,,,0.00,2
"Dec 15, 2011",243,0,204,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,0,,,0.00,1
"Dec 14, 2011",321,0,248,$0,$0,$0,$0,0,0,0,2,0,2,-1,1,2,1,0,,,0.00,6
"Dec 13, 2011",306,0,234,$0,$0,$0,$0,1,1,0,1,0,1,1,1,0,1,0,,,0.00,3
"Dec 12, 2011",264,0,218,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Dec 11, 2011",285,0,223,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 10, 2011",198,0,153,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,1,,,0.00,1
"Dec 09, 2011",215,0,156,$0,$0,$0,$0,1,1,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 08, 2011",274,0,209,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Dec 07, 2011",280,0,216,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Dec 06, 2011",292,0,222,$0,$0,$0,$0,2,2,0,0,0,0,2,2,0,0,0,,,0.00,2
"Dec 05, 2011",302,0,244,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Dec 04, 2011",264,0,207,$0,$0,$0,$0,1,1,0,0,0,0,1,1,0,0,3,,,0.00,4
"Dec 03, 2011",199,0,146,$0,$0,$0,$0,0,0,0,0,0,0,-1,0,1,0,0,,,0.00,1
"Dec 02, 2011",177,0,145,$0,$0,$0,$0,0,0,0,2,1,1,0,0,0,0,0,,,0.00,2
"Dec 01, 2011",306,0,245,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Nov 30, 2011",329,0,244,$0,$0,$0,$0,0,0,0,0,0,0,0,0,0,0,0,,,0.00,0
"Nov 29, 2011",334,0,254,$0,$0,$0,$0,1,1,0,1,0,1,1,1,0,0,1,,,0.00,3
"Nov 28, 2011",301,0,246,$0,$0,$0,$0,0,0,0,1,0,1,0,0,0,0,0,,,0.00,1
"Nov 27, 2011",279,0,214,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
"Nov 26, 2011",225,0,162,$0,$0,$0,$0,0,0,0,0,0,0,1,1,0,0,0,,,0.00,1
