India,55-64,m,31.8
Brazil,35-44,f,27.7
Germany,25-34,m,27.4
Australia,45-54,f,22.5
Italy,35-44,m,21.5
Thailand,18-24,f,20.3
Brazil,25-34,f,17.1
India,25-34,m,16.4
Thailand,55-64,m,15.8
United Kingdom,25-34,m,15.6
Canada,18-24,f,14.9
Italy,25-34,m,14.8
Canada,45-54,m,14.7
United Kingdom,18-24,f,14.5
Canada,25-34,f,14.4
Thailand,25-34,f,14.4
Australia,25-34,m,14.3
Mexico,45-54,m,14
Brazil,25-34,m,13.8
Canada,25-34,m,13.8
Mexico,18-24,f,13.2
United States,45-54,f,13.1
United States,35-44,m,13.1
United Kingdom,35-44,m,13.1
Italy,45-54,f,12.8
Germany,25-34,f,12.5
United States,45-54,m,12.4
Germany,18-24,m,12.3
United States,25-34,m,12
Mexico,35-44,m,12
Mexico,25-34,m,11.8
United Kingdom,25-34,f,11.5
Australia,18-24,f,11.5
Italy,25-34,f,11.4
United Kingdom,18-24,m,11.2
United States,25-34,f,11.1
Mexico,18-24,m,11.1
India,18-24,m,10.7
Brazil,18-24,f,10.6
Mexico,25-34,f,10.6
Canada,35-44,m,10.4
India,35-44,m,10.3
Thailand,35-44,m,10.3
Brazil,35-44,m,10.1
Thailand,45-54,m,9.9
Mexico,55-64,f,9.9
India,25-34,f,9.8
Germany,18-24,f,9.8
Australia,13-17,f,9.8
Australia,35-44,f,9.8
United Kingdom,35-44,f,9.6
Australia,45-54,m,9.6
Germany,13-17,f,9.4
Thailand,13-17,f,9.4
Thailand,25-34,m,9.2
Italy,18-24,f,9
United Kingdom,45-54,m,8.9
India,45-54,m,8.5
Italy,13-17,f,8.3
Australia,18-24,m,8.3
United States,18-24,f,8.1
Canada,18-24,m,8.1
Italy,18-24,m,8.1
United States,35-44,f,8
United Kingdom,45-54,f,7.8
Thailand,18-24,m,7.5
Germany,35-44,m,7.3
India,18-24,f,7.2
Italy,55-64,m,7
Australia,35-44,m,6.7
Brazil,18-24,m,6.6
United States,18-24,m,6
Canada,45-54,f,5.9
Canada,35-44,f,5.3
United States,55-64,m,5.2
United States,55-64,f,4.8
Mexico,35-44,f,4.8
Germany,55-64,f,4.1
Mexico,45-54,f,4.1
Germany,35-44,f,4
Australia,25-34,f,3.8
Germany,45-54,f,3.5
Mexico,55-64,m,3.4
Brazil,45-54,m,3.3
Canada,65-,f,3.3
Brazil,65-,m,3.2
Canada,55-64,m,3.2
Canada,13-17,f,3
Brazil,55-64,f,2.9
Italy,65-,m,2.9
Italy,45-54,m,2.9
Germany,55-64,m,2.8
Germany,13-17,m,2.8
Australia,65-,m,2.6
Brazil,45-54,f,2.4
Germany,45-54,m,2.4
United Kingdom,13-17,m,2.2
India,13-17,f,2.1
India,55-64,f,2.1
United Kingdom,65-,m,2.1
United Kingdom,13-17,f,2
Thailand,35-44,f,1.9
Mexico,65-,m,1.9
United States,65-,f,1.8
Canada,65-,m,1.8
Mexico,13-17,m,1.7
United States,13-17,f,1.6
United States,65-,m,1.6
Germany,65-,m,1.6
Mexico,13-17,f,1.6
Thailand,13-17,m,1.3
United States,13-17,m,1.2
Canada,13-17,m,1.2
Italy,13-17,m,1.2
Australia,13-17,m,1.2
United Kingdom,55-64,m,1.1
Brazil,13-17,f,0.9
Brazil,65-,f,0.8
India,35-44,f,0.7
Brazil,13-17,m,0.7
India,13-17,m,0.5
United Kingdom,65-,f,0.4
India,65-,f,0
India,45-54,f,0
India,65-,m,0
United Kingdom,55-64,f,0
Brazil,55-64,m,0
Germany,65-,f,0
Canada,55-64,f,0
Italy,55-64,f,0
Italy,65-,f,0
Italy,35-44,f,0
Thailand,55-64,f,0
Thailand,65-,f,0
Thailand,45-54,f,0
Thailand,65-,m,0
Australia,55-64,f,0
Australia,65-,f,0
Australia,55-64,m,0
Mexico,65-,f,0
