Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,13603,,$0,$0,$0,$0,9,9,0,43,1,42,32,35,3,11,0,,,0.00,92
India,4747,,$0,$0,$0,$0,3,3,0,11,0,11,6,8,2,3,2,,,0.00,26
United Kingdom,3972,,$0,$0,$0,$0,4,4,0,22,1,21,13,13,0,9,0,,,0.00,44
Brazil,2742,,$0,$0,$0,$0,,,,0,0,0,6,7,1,2,1,,,0.00,11
Germany,2668,,$0,$0,$0,$0,,,,5,0,5,1,1,0,2,0,,,0.00,8
Canada,2256,,$0,$0,$0,$0,3,3,0,8,0,8,4,4,0,3,0,,,0.00,15
Italy,1631,,$0,$0,$0,$0,1,1,0,5,1,4,4,4,0,1,2,,,0.00,12
Thailand,1437,,$0,$0,$0,$0,,,,5,0,5,4,4,0,0,2,,,0.00,11
Australia,1397,,$0,$0,$0,$0,,,,2,0,2,4,4,0,1,0,,,0.00,7
Mexico,1280,,$0,$0,$0,$0,,,,3,0,3,4,4,0,0,1,,,0.00,8
South Korea,1240,,$0,$0,$0,$0,1,1,0,2,0,2,2,2,0,0,0,,,0.00,4
Egypt,1223,,$0,$0,$0,$0,2,2,0,4,0,4,1,1,0,0,6,,,0.00,11
Taiwan,1195,,$0,$0,$0,$0,,,,3,0,3,0,0,0,0,1,,,0.00,4
Netherlands,1171,,$0,$0,$0,$0,,,,1,0,1,1,1,0,3,1,,,0.00,6
Malaysia,1078,,$0,$0,$0,$0,,,,0,0,0,0,1,1,2,1,,,0.00,5
Spain,1017,,$0,$0,$0,$0,,,,1,0,1,2,2,0,0,0,,,0.00,3
Pakistan,933,,$0,$0,$0,$0,2,2,0,2,0,2,0,0,0,0,0,,,0.00,2
France,899,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sweden,793,,$0,$0,$0,$0,,,,4,0,4,2,2,0,5,3,,,0.00,14
Vietnam,780,,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,1,,,0.00,2
Turkey,761,,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Japan,736,,$0,$0,$0,$0,2,2,0,2,0,2,2,2,0,0,1,,,0.00,5
Portugal,700,,$0,$0,$0,$0,,,,3,0,3,0,0,0,0,0,,,0.00,3
Saudi Arabia,690,,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
Poland,613,,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
