Italy,45-54,f,33.3
Brazil,45-54,m,26.5
Thailand,55-64,f,23.5
Germany,13-17,f,22.7
Pakistan,45-54,m,22.7
United Kingdom,45-54,f,20.8
India,55-64,m,20
Australia,35-44,m,19.4
Canada,45-54,f,19
Brazil,25-34,f,18.6
Italy,45-54,m,18.2
Pakistan,35-44,m,17.6
India,45-54,m,16.7
Canada,18-24,f,16.2
Brazil,35-44,m,16
India,25-34,m,15.3
Thailand,18-24,f,15.3
United States,45-54,f,14.8
United Kingdom,35-44,m,14.3
United States,45-54,m,13.4
Pakistan,35-44,f,12.9
United States,35-44,m,12.6
Germany,55-64,m,12.6
Canada,25-34,f,12.1
Thailand,25-34,f,11.9
Pakistan,18-24,m,11.9
United Kingdom,18-24,f,11.4
Italy,55-64,m,10.9
Germany,25-34,m,10.8
United Kingdom,25-34,f,10.7
India,18-24,m,10.6
Australia,55-64,m,10.6
United Kingdom,25-34,m,10.4
India,35-44,m,10.2
Thailand,13-17,f,10.1
Thailand,35-44,f,10.1
United Kingdom,45-54,m,10
Brazil,35-44,f,10
Australia,35-44,f,10
United States,18-24,f,9.8
Australia,25-34,m,9.5
United States,25-34,m,9.2
United States,35-44,f,9.2
Germany,18-24,m,9.2
Canada,45-54,m,9.2
United States,25-34,f,9
Australia,18-24,f,8.8
Australia,45-54,f,8.6
Germany,18-24,f,8.5
United Kingdom,18-24,m,8.4
Australia,13-17,f,8.4
Canada,18-24,m,8.2
India,18-24,f,8
Pakistan,18-24,f,7.9
Canada,25-34,m,7.8
Italy,35-44,f,7.7
Thailand,18-24,m,7.4
Pakistan,25-34,f,7.4
India,25-34,f,7.3
Germany,35-44,m,7.3
Brazil,25-34,m,7.3
Canada,35-44,m,7.2
Italy,35-44,m,7
Germany,25-34,f,6.8
Pakistan,13-17,m,6.6
Thailand,45-54,f,6.5
Pakistan,13-17,f,6.5
Pakistan,25-34,m,6.5
Germany,45-54,m,6.3
Germany,13-17,m,6.3
Canada,13-17,f,6.3
Brazil,18-24,f,6.1
Italy,25-34,m,6.1
Australia,45-54,m,5.9
India,13-17,f,5.4
United States,55-64,f,5.3
United States,18-24,m,5.3
Australia,13-17,m,5.3
Italy,18-24,m,5.3
United States,55-64,m,5.1
Thailand,25-34,m,5.1
Australia,25-34,f,4.9
Thailand,45-54,m,4.5
Italy,18-24,f,4.5
Brazil,18-24,m,4.4
Brazil,45-54,f,4.3
India,55-64,f,4.2
Canada,35-44,f,4.2
Australia,18-24,m,4.2
United Kingdom,13-17,f,4
United Kingdom,35-44,f,4
Italy,13-17,f,3.8
Germany,55-64,f,3.7
Canada,65-,f,3.6
Germany,65-,m,3.5
Thailand,35-44,m,3.5
United Kingdom,55-64,m,3.4
Brazil,13-17,f,3.4
Italy,25-34,f,3.2
Australia,65-,m,2.9
Canada,13-17,m,2.8
Germany,35-44,f,2.4
United States,13-17,f,2.3
Canada,55-64,m,2.2
Thailand,13-17,m,2.1
Brazil,13-17,m,1.8
United States,13-17,m,1.7
United Kingdom,13-17,m,1.7
Brazil,65-,m,1.6
United States,65-,f,1.4
India,35-44,f,1.4
Australia,65-,f,1.4
Canada,65-,m,1.2
India,13-17,m,1
United States,65-,m,0.9
United Kingdom,65-,m,0.7
United Kingdom,55-64,f,0
United Kingdom,65-,f,0
India,65-,f,0
India,45-54,f,0
India,65-,m,0
Germany,65-,f,0
Germany,45-54,f,0
Canada,55-64,f,0
Brazil,55-64,f,0
Brazil,65-,f,0
Brazil,55-64,m,0
Thailand,65-,f,0
Thailand,55-64,m,0
Thailand,65-,m,0
Australia,55-64,f,0
Pakistan,55-64,f,0
Pakistan,65-,f,0
Pakistan,55-64,m,0
Pakistan,45-54,f,0
Pakistan,65-,m,0
Italy,55-64,f,0
Italy,65-,f,0
Italy,65-,m,0
Italy,13-17,m,0
