Country,Views,Monetizable views,Total estimated earnings,AFV earnings,YouTube earnings,YouTube rental earnings,Subscribers net change,Subscribers gained,Subscribers lost,Total ratings,Dislikes,Likes,Favorites net change,Favorites added,Favorites removed,Comments,Shares,Call-to-Action Clicks,Call-to-Action Impressions,Call-to-Action Click through rate,Total engagement
United States,8476,1,$0,$0,$0,$0,3,3,0,17,2,15,16,17,1,2,1,,,0.00,38
United Kingdom,2071,0,$0,$0,$0,$0,1,1,0,4,0,4,4,4,0,1,2,,,0.00,11
India,1984,0,$0,$0,$0,$0,2,2,0,1,0,1,2,3,1,1,2,,,0.00,8
Germany,1717,0,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Canada,1325,0,$0,$0,$0,$0,2,2,0,1,0,1,3,3,0,1,0,,,0.00,5
Brazil,977,0,$0,$0,$0,$0,,,,2,1,1,5,5,0,0,1,,,0.00,8
Thailand,663,0,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
Australia,656,0,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Pakistan,554,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Italy,510,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Netherlands,497,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Spain,450,0,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Malaysia,436,0,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,1,,,0.00,3
Egypt,430,0,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Saudi Arabia,409,0,$0,$0,$0,$0,,,,1,0,1,1,1,0,1,0,,,0.00,3
Mexico,408,0,$0,$0,$0,$0,,,,0,0,0,2,2,0,2,0,,,0.00,4
France,376,0,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Japan,359,0,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Taiwan,353,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Indonesia,351,0,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
South Korea,320,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Sweden,299,0,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Turkey,292,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Portugal,291,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Vietnam,288,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Singapore,281,0,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,0,,,0.00,1
Denmark,258,0,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Poland,252,0,$0,$0,$0,$0,1,1,0,1,0,1,0,0,0,0,0,,,0.00,1
Belgium,247,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Philippines,225,0,$0,$0,$0,$0,,,,0,0,0,0,0,0,0,1,,,0.00,1
Israel,208,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Hong Kong,189,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Greece,183,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Ireland,175,0,$0,$0,$0,$0,,,,0,0,0,1,1,0,0,0,,,0.00,1
Iraq,174,0,$0,$0,$0,$0,,,,0,0,0,0,0,0,0,1,,,0.00,1
Switzerland,169,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Romania,167,0,$0,$0,$0,$0,,,,1,0,1,1,1,0,0,0,,,0.00,2
Czech Republic,159,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Austria,155,0,$0,$0,$0,$0,,,,0,0,0,1,2,1,0,0,,,0.00,3
Russia,151,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Colombia,146,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Hungary,138,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Argentina,124,0,$0,$0,$0,$0,1,1,0,,,,,,,,,,,0.00,
Algeria,119,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
_unknown_,117,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
Chile,115,0,$0,$0,$0,$0,,,,,,,,,,,,,,0.00,
South Africa,111,0,$0,$0,$0,$0,,,,1,0,1,0,0,0,0,2,,,0.00,3
