VIDEO KEY,COUNTRY,AGE (% YOUNG),GENDER (% FEMALE),DIFFERENCE (AGE% of total - GENDER % of total),REGION,CONTINENT
9u9A2mktG7s,Saudi Arabia,43,17.9,25.1,Middle East/North Africa,Asia
9u9A2mktG7s,Malaysia,39.3,31.5,7.8,Southeast Asia,Asia
9u9A2mktG7s,Indonesia,32.3,9.6,22.7,Southeast Asia,Asia
9u9A2mktG7s,United Kingdom,29.3,44,-14.7,Europe,Europe
9u9A2mktG7s,India,26.9,17.2,9.7,South Asia,Asia
9u9A2mktG7s,Canada,20.2,31.4,-11.2,North America,North America
9u9A2mktG7s,Italy,16.4,14.7,1.7,Europe,Europe
9u9A2mktG7s,United States,15.8,33,-17.2,North America,North America
9u9A2mktG7s,Germany,10.9,22.9,-12,Europe,Europe
9u9A2mktG7s,Japan,5.9,6.8,-0.9,East Asia,Asia
70TPrfL_8-M,India,85.1,41.1,44,South Asia,Asia
70TPrfL_8-M,United Kingdom,79.5,48.4,36.7,Europe,Europe
70TPrfL_8-M,Canada,66.6,58.6,20.9,North America,North America
70TPrfL_8-M,Germany,65.3,35.5,31.1,Europe,Europe
70TPrfL_8-M,Australia,63.5,33.2,32.1,Australia,Australia
70TPrfL_8-M,Brazil,59.9,56.7,6.8,South America,South America
70TPrfL_8-M,Thailand,57.5,69.4,-9.5,Southeast Asia,Asia
70TPrfL_8-M,Saudi Arabia,49,28.9,28.6,Middle East/North Africa,Asia
70TPrfL_8-M,Egypt,41.8,27.2,21.8,Middle East/North Africa,Africa
70TPrfL_8-M,United States,38,48.4,-6.6,North America,North America
D1MMlaDm5t0,Mexico,40.9,30.1,10.8,Central America,North America
D1MMlaDm5t1,Colombia,35.8,31.4,4.4,Latin America,South America
D1MMlaDm5t2,Saudi Arabia,35.1,14.8,20.3,Middle East/North Africa,Asia
D1MMlaDm5t3,United Kingdom,34.3,65.1,-30.8,Europe,Europe
D1MMlaDm5t4,Canada,32.5,54.1,-21.6,North America,North America
D1MMlaDm5t5,India,30.5,17.9,12.6,South Asia,Asia
D1MMlaDm5t6,United States,26,50.2,-24.2,North America,North America
D1MMlaDm5t7,Brazil,20.7,56.1,-35.4,South America,South America
D1MMlaDm5t8,Germany,14.3,27.3,-13,Europe,Europe
D1MMlaDm5t9,Japan,11.1,8.8,2.3,East Asia,Asia
